title	authors	journal	year	pmid	pmcid	doi
Deep Learning Classifiers for Automated Detection of Gonioscopic Angle Closure Based on Anterior Segment OCT Images.	Xu BY, Chiang M, Chaudhary S, Kulkarni S, Pardeshi AA, Varma R.	American journal of ophthalmology	2019	31445003	PMC6888901	10.1016/j.ajo.2019.08.004
Performance of deep learning technology for evaluation of positioning quality in periapical radiography of the maxillary canine.	Mori M, Ariji Y, Fukuda M, Kitano T, Funakoshi T, Nishiyama W, Kohinata K, Iida Y, Ariji E, Katsumata A.	Oral radiology	2022	34041639	PMC8741711	10.1007/s11282-021-00538-2
White Matter Connectome Correlates of Auditory Over-Responsivity: Edge Density Imaging and Machine-Learning Classifiers.	Payabvash S, Palacios EM, Owen JP, Wang MB, Tavassoli T, Gerdes M, Brandes-Aitken A, Mukherjee P, Marco EJ.	Frontiers in integrative neuroscience	2019	30983979	PMC6450221	10.3389/fnint.2019.00010
Construction of a lung adenocarcinoma prognostic model based on KEAP1/NRF2/HO‑1 mutation‑mediated upregulated genes and bioinformatic analysis.	Zhu W, Zhang Y, Yang L, Chen L, Chen C, Shi Q, Xu Z.	Oncology letters	2025	39911153	PMC11795234	10.3892/ol.2025.14902
Identification of predictors and model for predicting prolonged length of stay in dengue patients.	Shahid Ansari M, Jain D, Harikumar H, Rana S, Gupta S, Budhiraja S, Venkatesh S.	Health care management science	2021	34389924	PMC8363490	10.1007/s10729-021-09571-3
The Gene Expression Classifier ALLCatchR Identifies B-cell Precursor ALL Subtypes and Underlying Developmental Trajectories Across Age.	Beder T, Hansen BT, Hartmann AM, Zimmermann J, Amelunxen E, Wolgast N, Walter W, Zaliova M, Antić Ž, Chouvarine P, Bartsch L, Barz MJ, Bultmann M, Horns J, Bendig S, Kässens J, Kaleta C, Cario G, Schrappe M, Neumann M, Gökbuget N, Bergmann AK, Trka J, Haferlach C, Brüggemann M, Baldus CD, Bastian L.	HemaSphere	2023	37645423	PMC10461941	10.1097/hs9.0000000000000939
Prediction of Oncomelania hupensis distribution in association with climate change using machine learning models.	Xu N, Zhang Y, Du C, Song J, Huang J, Gong Y, Jiang H, Tong Y, Yin J, Wang J, Jiang F, Chen Y, Jiang Q, Dong Y, Zhou Y.	Parasites & vectors	2023	37872579	PMC10591370	10.1186/s13071-023-05952-5
deepGBLUP: joint deep learning networks and GBLUP framework for accurate genomic prediction of complex traits in Korean native cattle.	Lee HJ, Lee JH, Gondro C, Koh YJ, Lee SH.	Genetics, selection, evolution : GSE	2023	37525091	PMC10392020	10.1186/s12711-023-00825-y
Combining structural and textural assessments of volumetric FDG-PET uptake in NSCLC.	Wolsztynski E, O'Sullivan J, Hughes NM, Mou T, Murphy P, O'Sullivan F, O'Regan K.	IEEE transactions on radiation and plasma medical sciences	2019	33134652	PMC7597463	10.1109/trpms.2019.2912433
Using machine learning to explore core risk factors associated with the risk of eating disorders among non-clinical young women in China: A decision-tree classification analysis.	Ren Y, Lu C, Yang H, Ma Q, Barnhart WR, Zhou J, He J.	Journal of eating disorders	2022	35144682	PMC8832719	10.1186/s40337-022-00545-6
Artificial intelligence-assisted measurements of coronary computed tomography angiography parameters such as stenosis, flow reserve, and fat attenuation for predicting major adverse cardiac events in patients with coronary arterial disease.	Luo C, Mo L, Zeng Z, Jiang M, Chen BT.	Biomolecules & biomedicine	2024	38683171	PMC11379010	10.17305/bb.2024.10497
DeepPhagy: a deep learning framework for quantitatively measuring autophagy activity in <i>Saccharomyces cerevisiae</i>.	Zhang Y, Xie Y, Liu W, Deng W, Peng D, Wang C, Xu H, Ruan C, Deng Y, Guo Y, Lu C, Yi C, Ren J, Xue Y.	Autophagy	2020	31204567	PMC7138222	10.1080/15548627.2019.1632622
Computed Tomography-Based Radiomics and Genomics Analyses for Survival Prediction of Stage III Unresectable Non-Small Cell Lung Cancer Treated With Definitive Chemoradiotherapy and Immunotherapy.	Geng Y, Yin T, Li Y, He K, Zou B, Yu J, Sun X, Zhang T, Teng F.	Molecular carcinogenesis	2025	39835605	PMC11890425	10.1002/mc.23883
Development of a Spine X-Ray-Based Fracture Prediction Model Using a Deep Learning Algorithm.	Kong SH, Lee JW, Bae BU, Sung JK, Jung KH, Kim JH, Shin CS.	Endocrinology and metabolism (Seoul, Korea)	2022	35927066	PMC9449110	10.3803/enm.2022.1461
AI-predicted mpMRI image features for the prediction of clinically significant prostate cancer.	Li S, Wang KX, Li JL, He Y, Wang XY, Tang WR, Xie WH, Zhu W, Wu PS, Wang XP.	International urology and nephrology	2023	37553543	PMC10560153	10.1007/s11255-023-03722-x
Development of a predictive model for type 2 diabetes mellitus using genetic and clinical data.	Lee J, Keam B, Jang EJ, Park MS, Lee JY, Kim DB, Lee CH, Kim T, Oh B, Park HJ, Kwack KB, Chu C, Kim HL.	Osong public health and research perspectives	2011	24159455	PMC3766990	10.1016/j.phrp.2011.07.005
Application of deep learning to predict advanced neoplasia using big clinical data in colorectal cancer screening of asymptomatic adults.	Yang HJ, Cho CW, Jang J, Kim SS, Ahn KS, Park SK, Park DI.	The Korean journal of internal medicine	2021	33092313	PMC8273821	10.3904/kjim.2020.020
Using Machine Learning Methods Incorporating Individual Reader Annotations to Classify Paediatric Chest Radiographs in Epidemiological Studies.	Mwaniki P, Kamanu T, Akech S, Eijkemans MJC.	Wellcome open research	2021	36111213	PMC9463539	10.12688/wellcomeopenres.17164.2
Deep learning segmentation of gadolinium-enhancing lesions in multiple sclerosis.	Coronado I, Gabr RE, Narayana PA.	Multiple sclerosis (Houndmills, Basingstoke, England)	2021	32442043	PMC7680286	10.1177/1352458520921364
Classification of 5-HT(1A) receptor agonists and antagonists using GA-SVM method.	Zhu XL, Cai HY, Xu ZJ, Wang Y, Wang HY, Zhang A, Zhu WL.	Acta pharmacologica Sinica	2011	21963891	PMC4002729	10.1038/aps.2011.112
The Utility of Nursing Notes Among Medicare Patients With Heart Failure to Predict 30-Day Rehospitalization: A Pilot Study.	Kang Y, Topaz M, Dunbar SB, Stehlik J, Hurdle J.	The Journal of cardiovascular nursing	2022	34935742	PMC9918309	10.1097/jcn.0000000000000871
Generalizability of Machine Learning Models: Quantitative Evaluation of Three Methodological Pitfalls.	Maleki F, Ovens K, Gupta R, Reinhold C, Spatz A, Forghani R.	Radiology. Artificial intelligence	2023	36721408	PMC9885377	10.1148/ryai.220028
Machine learning based predictive modeling of readmissions following extracorporeal membrane oxygenation hospitalizations.	Balian J, Sakowitz S, Verma A, Vadlakonda A, Cruz E, Ali K, Benharash P.	Surgery open science	2024	38655069	PMC11035075	10.1016/j.sopen.2024.04.003
Deciphering Necroptosis-Associated Molecular Subtypes in Acute Ischemic Stroke Through Bioinformatics and Machine Learning Analysis.	Wu Z, Fan H, Qin L, Niu X, Chu B, Zhang K, Gao Y, Wang H.	Journal of molecular neuroscience : MN	2025	39743646	PMC11693621	10.1007/s12031-024-02241-3
Early COVID-19 respiratory risk stratification using machine learning.	Douglas MJ, Bell BW, Kinney A, Pungitore SA, Toner BP.	Trauma surgery & acute care open	2022	36111138	PMC9438026	10.1136/tsaco-2022-000892
Development of novel machine learning model for right ventricular quantification on echocardiography-A multimodality validation study.	Beecy AN, Bratt A, Yum B, Sultana R, Das M, Sherifi I, Devereux RB, Weinsaft JW, Kim J.	Echocardiography (Mount Kisco, N.Y.)	2020	32396705	PMC7383774	10.1111/echo.14674
Nomogram Based on Super-Resolution Ultrasound Images Outperforms in Predicting Benign and Malignant Breast Lesions.	Yang L, Ma Z.	Breast cancer (Dove Medical Press)	2023	38074418	PMC10700043	10.2147/bctt.s435510
An Automated Method for Artifical Intelligence Assisted Diagnosis of Active Aortitis Using Radiomic Analysis of FDG PET-CT Images.	Duff LM, Scarsbrook AF, Ravikumar N, Frood R, van Praagh GD, Mackie SL, Bailey MA, Tarkin JM, Mason JC, van der Geest KSM, Slart RHJA, Morgan AW, Tsoumpas C.	Biomolecules	2023	36830712	PMC9953018	10.3390/biom13020343
Identifying Cardiovascular Disease Risk Factors in Adults with Explainable Artificial Intelligence.	Kırboğa KK, Küçüksille EU.	Anatolian journal of cardiology	2023	37624075	PMC10621606	10.14744/anatoljcardiol.2023.3214
Predicting Inpatient Length of Stay After Brain Tumor Surgery: Developing Machine Learning Ensembles to Improve Predictive Performance.	Muhlestein WE, Akagi DS, Davies JM, Chambless LB.	Neurosurgery	2019	30113665	PMC7137462	10.1093/neuros/nyy343
Leveraging Large Data, Statistics, and Machine Learning to Predict the Emergence of Resistant <i>E. coli</i> Infections.	Hur R, Golik S, She Y.	Pharmacy (Basel, Switzerland)	2024	38525733	PMC10961794	10.3390/pharmacy12020053
Fake or real news about COVID-19? Pretrained transformer model to detect potential misleading news.	Malla S, Alphonse PJA.	The European physical journal. Special topics	2022	35039760	PMC8756170	10.1140/epjs/s11734-022-00436-6
Empowering High-Throughput High-Content Analysis of Microphysiological Models: Open-Source Software for Automated Image Analysis of Microvessel Formation and Cell Invasion.	Wiggin N, Cook C, Black M, Cadena I, Rahal-Arabi S, Asnes CL, Ivanova Y, Hettiaratchi MH, Hind LE, Fogg KC.	Cellular and molecular bioengineering	2024	39513011	PMC11538109	10.1007/s12195-024-00821-2
Microbiome Data Enhances Predictive Models of Lung Function in People With Cystic Fibrosis.	Zhao CY, Hao Y, Wang Y, Varga JJ, Stecenko AA, Goldberg JB, Brown SP.	The Journal of infectious diseases	2021	33330902	PMC8355460	10.1093/infdis/jiaa655
LEAP: Using machine learning to support variant classification in a clinical setting.	Lai C, Zimmer AD, O'Connor R, Kim S, Chan R, van den Akker J, Zhou AY, Topper S, Mishne G.	Human mutation	2020	32176384	PMC7317941	10.1002/humu.24011
A Robust and Accurate Deep-learning-based Method for the Segmentation of Subcortical Brain: Cross-dataset Evaluation of Generalization Performance.	Furuhashi N, Okuhata S, Kobayashi T.	Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine	2021	32389928	PMC8203473	10.2463/mrms.mp.2019-0199
Diagnosing and grading gastric atrophy and intestinal metaplasia using semi-supervised deep learning on pathological images: development and validation study.	Fang S, Liu Z, Qiu Q, Tang Z, Yang Y, Kuang Z, Du X, Xiao S, Liu Y, Luo Y, Gu L, Tian L, Liang X, Fan G, Zhang Y, Zhang P, Zhou W, Liu X, Tian J, Wei W.	Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association	2024	38095766	PMC10896941	10.1007/s10120-023-01451-9
Machine learning-based pathomics signature of histology slides as a novel prognostic indicator in primary central nervous system lymphoma.	Duan L, He Y, Guo W, Du Y, Yin S, Yang S, Dong G, Li W, Chen F.	Journal of neuro-oncology	2024	38557926	PMC11147825	10.1007/s11060-024-04665-8
A Deep Learning and Handcrafted Based Computationally Intelligent Technique for Effective COVID-19 Detection from X-ray/CT-scan Imaging.	Habib M, Ramzan M, Khan SA.	Journal of grid computing	2022	35874855	PMC9294765	10.1007/s10723-022-09615-0
Rapid and accurate developmental stage recognition of C. elegans from high-throughput image data.	White AG, Cipriani PG, Kao HL, Lees B, Geiger D, Sontag E, Gunsalus KC, Piano F.	Proceedings. IEEE Computer Society Conference on Computer Vision and Pattern Recognition	2010	22053146	PMC3205469	10.1109/cvpr.2010.5540065
A novel hand-crafted with deep learning features based fusion model for COVID-19 diagnosis and classification using chest X-ray images.	Shankar K, Perumal E.	Complex & intelligent systems	2021	34777955	PMC7659408	10.1007/s40747-020-00216-6
Combining comparative genomic analysis with machine learning reveals some promising diagnostic markers to identify five common pathogenic non-tuberculous mycobacteria.	Jia X, Yang L, Li C, Xu Y, Yang Q, Chen F.	Microbial biotechnology	2021	34019733	PMC8313281	10.1111/1751-7915.13815
Hybrid statistical and machine learning modeling of cognitive neuroscience data.	Cakar S, Yavuz FG.	Journal of applied statistics	2024	38628450	PMC11018039	10.1080/02664763.2023.2176834
Fish Fingerprinting: Identifying Crude Oil Pollutants using Bicyclic Sesquiterpanes (Bicyclanes) in the Tissues of Exposed Fish.	Spilsbury FD, Scarlett AG, Rowland SJ, Nelson RK, Spaak G, Grice K, Gagnon MM.	Environmental toxicology and chemistry	2023	36165563	PMC10098758	10.1002/etc.5489
Identification of hepatic steatosis in living liver donors by machine learning models.	Lim J, Han S, Lee D, Shim JH, Kim KM, Lim YS, Lee HC, Jung DH, Lee SG, Kim KH, Choi J.	Hepatology communications	2022	35377548	PMC9234640	10.1002/hep4.1921
Use of Artificial Intelligence for the Development of Predictive Model to Help in Decision-Making for Patients with Degenerative Lumbar Spine Disease.	Purohit G, Choudhary M, Sinha VD.	Asian journal of neurosurgery	2022	36120630	PMC9473813	10.1055/s-0042-1750785
Automatic COVID-19 Detection Using Exemplar Hybrid Deep Features with X-ray Images.	Barua PD, Muhammad Gowdh NF, Rahmat K, Ramli N, Ng WL, Chan WY, Kuluozturk M, Dogan S, Baygin M, Yaman O, Tuncer T, Wen T, Cheong KH, Acharya UR.	International journal of environmental research and public health	2021	34360343	PMC8345793	10.3390/ijerph18158052
Utilizing artificial intelligence for the detection of hemarthrosis in hemophilia using point-of-care ultrasonography.	Tyrrell PN, Alvarez-Román MT, Bakeer N, Brand-Staufer B, Jiménez-Yuste V, Kras S, Martinoli C, Mendez M, Nagao A, Ozelo M, Ricciardi JBS, Zak M, Roth J.	Research and practice in thrombosis and haemostasis	2024	39677374	PMC11638597	10.1016/j.rpth.2024.102602
Detection of active and inactive phases of thyroid-associated ophthalmopathy using deep convolutional neural network.	Lin C, Song X, Li L, Li Y, Jiang M, Sun R, Zhou H, Fan X.	BMC ophthalmology	2021	33446163	PMC7807896	10.1186/s12886-020-01783-5
Classification of multiple sclerosis clinical profiles using machine learning and grey matter connectome.	Barile B, Ashtari P, Stamile C, Marzullo A, Maes F, Durand-Dubief F, Van Huffel S, Sappey-Marinier D.	Frontiers in robotics and AI	2022	36313252	PMC9608344	10.3389/frobt.2022.926255
An open source pipeline for quantitative immunohistochemistry image analysis of inflammatory skin disease using artificial intelligence.	Ding Y, Dhawan G, Jones C, Ness T, Nichols E, Krasnogor N, Reynolds NJ.	Journal of the European Academy of Dermatology and Venereology : JEADV	2023	36367625	PMC10947200	10.1111/jdv.18726
Development of parallel forms of a brief smell identification test useful for longitudinal testing.	Moein ST, Sacan A, Pourrezaei K, Yan CH, Turner JH, Sharetts R, Doty RL.	Behavior research methods	2024	36964286	PMC10038376	10.3758/s13428-023-02102-8
Machine-Learning-Assisted Microfluidic Nanoplasmonic Digital Immunoassay for Cytokine Storm Profiling in COVID-19 Patients.	Gao Z, Song Y, Hsiao TY, He J, Wang C, Shen J, MacLachlan A, Dai S, Singer BH, Kurabayashi K, Chen P.	ACS nano	2021	34714639	PMC8577373	10.1021/acsnano.1c06623
An AI-based Decision Support System for Predicting Mental Health Disorders.	Tutun S, Johnson ME, Ahmed A, Albizri A, Irgil S, Yesilkaya I, Ucar EN, Sengun T, Harfouche A.	Information systems frontiers : a journal of research and innovation	2023	35669335	PMC9142346	10.1007/s10796-022-10282-5
Pathomic model based on histopathological features and machine learning to predict IDO1 status and its association with breast cancer prognosis.	Zhuo X, Deng H, Qiu M, Qiu X.	Breast cancer research and treatment	2024	38780888	PMC11230954	10.1007/s10549-024-07350-6
Deep learning models in classifying primary bone tumors and bone infections based on radiographs.	Wang H, He Y, Wan L, Li C, Li Z, Li Z, Xu H, Tu C.	NPJ precision oncology	2025	40074845	PMC11904180	10.1038/s41698-025-00855-3
Exponentially Increasing Trend of Infected Patients with COVID-19 in Iran: A Comparison of Neural Network and ARIMA Forecasting Models.	Moftakhar L, Seif M, Safe MS.	Iranian journal of public health	2020	34268211	PMC8266002	10.18502/ijph.v49is1.3675
A robust class decomposition-based approach for detecting Alzheimer's progression.	Alwuthaynani MM, Abdallah ZS, Santos-Rodriguez R.	Experimental biology and medicine (Maywood, N.J.)	2023	38059336	PMC10854473	10.1177/15353702231211880
Deep learning-based six-type classifier for lung cancer and mimics from histopathological whole slide images: a retrospective study.	Yang H, Chen L, Cheng Z, Yang M, Wang J, Lin C, Wang Y, Huang L, Chen Y, Peng S, Ke Z, Li W.	BMC medicine	2021	33775248	PMC8006383	10.1186/s12916-021-01953-2
Role of different types of RNA molecules in the severity prediction of SARS-CoV-2 patients.	Jeyananthan P.	Pathology, research and practice	2023	36657221	PMC9840815	10.1016/j.prp.2023.154311
Prediction of remission in obsessive compulsive disorder using a novel machine learning strategy.	Askland KD, Garnaat S, Sibrava NJ, Boisseau CL, Strong D, Mancebo M, Greenberg B, Rasmussen S, Eisen J.	International journal of methods in psychiatric research	2015	25994109	PMC5466447	10.1002/mpr.1463
Integrated virtual screening, molecular modeling and machine learning approaches revealed potential natural inhibitors for epilepsy.	Alshehri FF.	Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society	2023	37965486	PMC10641561	10.1016/j.jsps.2023.101835
Automated Echocardiographic Quantification of Left Ventricular Ejection Fraction Without Volume Measurements Using a Machine Learning Algorithm Mimicking a Human Expert.	Asch FM, Poilvert N, Abraham T, Jankowski M, Cleve J, Adams M, Romano N, Hong H, Mor-Avi V, Martin RP, Lang RM.	Circulation. Cardiovascular imaging	2019	31522550	PMC7099856	10.1161/circimaging.119.009303
Deep learning-based 3D cerebrovascular segmentation workflow on bright and black blood sequences magnetic resonance angiography.	Zhou L, Wu H, Luo G, Zhou H.	Insights into imaging	2024	38517610	PMC10959883	10.1186/s13244-024-01657-0
Forecasting Risk of Future Rapid Glaucoma Worsening Using Early Visual Field, OCT, and Clinical Data.	Herbert P, Hou K, Bradley C, Hager G, Boland MV, Ramulu P, Unberath M, Yohannan J.	Ophthalmology. Glaucoma	2023	36944385	PMC10509314	10.1016/j.ogla.2023.03.005
Prediction of protein biophysical traits from limited data: a case study on nanobody thermostability through NanoMelt.	Ramon A, Ni M, Predeina O, Gaffey R, Kunz P, Onuoha S, Sormanni P.	mAbs	2025	39772905	PMC11730357	10.1080/19420862.2024.2442750
Development and validation of a machine learning-based model to predict postoperative overall survival in patients with soft tissue sarcoma: a retrospective cohort study.	Liu X, Yuan J, Wang X, Yu S.	American journal of cancer research	2024	39553229	PMC11560808	10.62347/zqvy3877
Epigenomic biomarkers insights in PBMCs for prognostic assessment of ECMO-treated cardiogenic shock patients.	Hsiao YJ, Chiang SC, Wang CH, Chi NH, Yu HY, Hong TH, Chen HY, Lin CY, Kuo SW, Su KY, Ko WJ, Hsu LM, Lin CA, Cheng CL, Chen YM, Chen YS, Yu SL.	Clinical epigenetics	2024	39363385	PMC11451087	10.1186/s13148-024-01751-6
Artificial Intelligence Applied in Early Prediction of Lower Limb Fracture Complications.	Anghele AD, Marina V, Dragomir L, Moscu CA, Fulga I, Anghele M, Popescu CM.	Clinics and practice	2024	39585025	PMC11587024	10.3390/clinpract14060197
Development and validation of a preoperative systemic inflammation-based nomogram for predicting surgical site infection in patients with colorectal cancer.	Mao F, Song M, Cao Y, Shen L, Cai K.	International journal of colorectal disease	2024	39707016	PMC11662059	10.1007/s00384-024-04772-y
Laboratory variables-based artificial neural network models for predicting fatty liver disease: A retrospective study.	Lv P, Cao Z, Zhu Z, Xu X, Zhao Z.	Open medicine (Warsaw, Poland)	2024	39291279	PMC11406433	10.1515/med-2024-1031
Statistical prediction of immunity to placental malaria based on multi-assay antibody data for malarial antigens.	Siriwardhana C, Fang R, Salanti A, Leke RGF, Bobbili N, Taylor DW, Chen JJ.	Malaria journal	2017	28962616	PMC5622501	10.1186/s12936-017-2041-3
Comprehensive assessment of machine learning methods for diagnosing gastrointestinal diseases through whole metagenome sequencing data.	Lee S, Lee I.	Gut microbes	2024	38972064	PMC11229738	10.1080/19490976.2024.2375679
PANoptosis-Related Optimal Model (PROM): A Novel Prognostic Tool Unveiling Immune Dynamics in Lung Adenocarcinoma.	Peng J, Tong L, Liang R, Yan H, Jiang X, Dai Y.	International journal of genomics	2025	40008397	PMC11858721	10.1155/ijog/5595391
Predicting pancreatic ductal adenocarcinoma using artificial intelligence analysis of pre-diagnostic computed tomography images.	Qureshi TA, Gaddam S, Wachsman AM, Wang L, Azab L, Asadpour V, Chen W, Xie Y, Wu B, Pandol SJ, Li D.	Cancer biomarkers : section A of Disease markers	2022	35213359	PMC9255993	10.3233/cbm-210273
Association Between Coffee Intake and Incident Heart Failure Risk: A Machine Learning Analysis of the FHS, the ARIC Study, and the CHS.	Stevens LM, Linstead E, Hall JL, Kao DP.	Circulation. Heart failure	2021	33557575	PMC8081115	10.1161/circheartfailure.119.006799
Predicting the issuance of COVID-19 stay-at-home orders in Africa: Using machine learning to develop insight for health policy research.	Mansell J, Lee Rhea C, Murray GR.	International journal of disaster risk reduction : IJDRR	2023	36875319	PMC9968666	10.1016/j.ijdrr.2023.103598
Predicting Language Function Post-Stroke: A Model-Based Structural Connectivity Approach.	Hildesheim FE, Ophey A, Zumbansen A, Funck T, Schuster T, Jamison KW, Kuceyeski A, Thiel A.	Neurorehabilitation and neural repair	2024	38602161	PMC11097606	10.1177/15459683241245410
High incidence of glucocorticoid-induced hyperglycaemia in inflammatory bowel disease: metabolic and clinical predictors identified by machine learning.	McDonnell M, Harris RJ, Borca F, Mills T, Downey L, Dharmasiri S, Patel M, Zare B, Stammers M, Smith TR, Felwick R, Cummings JRF, Phan HTT, Gwiggner M.	BMJ open gastroenterology	2020	33187976	PMC7668301	10.1136/bmjgast-2020-000532
Breast cancer classification based on breast tissue structures using the Jigsaw puzzle task in self-supervised learning.	Sugawara K, Takaya E, Inamori R, Konaka Y, Sato J, Shiratori Y, Hario F, Kobayashi T, Ueda T, Okamoto Y.	Radiological physics and technology	2025	39760975	PMC11876229	10.1007/s12194-024-00874-y
Detection of COVID-19 by Machine Learning Using Routine Laboratory Tests.	Çubukçu HC, Topcu Dİ, Bayraktar N, Gülşen M, Sarı N, Arslan AH.	American journal of clinical pathology	2022	34791032	PMC8690000	10.1093/ajcp/aqab187
Prognostic model for multiple myeloma progression integrating gene expression and clinical features.	Sun C, Li H, Mills RE, Guan Y.	GigaScience	2019	31886876	PMC6936209	10.1093/gigascience/giz153
Prediction of Mortality and Major Adverse Kidney Events in Critically Ill Patients With Acute Kidney Injury.	Neyra JA, Ortiz-Soriano V, Liu LJ, Smith TD, Li X, Xie D, Adams-Huet B, Moe OW, Toto RD, Chen J.	American journal of kidney diseases : the official journal of the National Kidney Foundation	2023	35868537	PMC9780161	10.1053/j.ajkd.2022.06.004
Mammography-based radiomics for predicting the risk of breast cancer recurrence: a multicenter study.	Mao N, Yin P, Zhang H, Zhang K, Song X, Xing D, Chu T.	The British journal of radiology	2021	34520235	PMC8553203	10.1259/bjr.20210348
Random forest machine-learning algorithm classifies white- and brown-rot fungi according to the number of the genes encoding Carbohydrate-Active enZyme families.	Hasegawa N, Sugiyama M, Igarashi K.	Applied and environmental microbiology	2024	38832775	PMC11267879	10.1128/aem.00482-24
Predicting lung mass density of patients with interstitial lung disease and healthy subjects using deep neural network and lung ultrasound surface wave elastography.	Zhou B, Bartholmai BJ, Kalra S, Zhang X.	Journal of the mechanical behavior of biomedical materials	2020	32174432	PMC8845488	10.1016/j.jmbbm.2020.103682
Cohort-Derived Machine Learning Models for Individual Prediction of Chronic Kidney Disease in People Living With Human Immunodeficiency Virus: A Prospective Multicenter Cohort Study.	Roth JA, Radevski G, Marzolini C, Rauch A, Günthard HF, Kouyos RD, Fux CA, Scherrer AU, Calmy A, Cavassini M, Kahlert CR, Bernasconi E, Bogojeska J, Battegay M, Swiss HIV Cohort Study (SHCS).	The Journal of infectious diseases	2021	32386061	PMC8514185	10.1093/infdis/jiaa236
Machine Learning Framework for Conotoxin Class and Molecular Target Prediction.	Truong DP, Monroe LK, Williams RF, Nguyen HB.	Toxins	2024	39591230	PMC11598409	10.3390/toxins16110475
Risk prediction models to guide antibiotic prescribing: a study on adult patients with uncomplicated upper respiratory tract infections in an emergency department.	Wong JG, Aung AH, Lian W, Lye DC, Ooi CK, Chow A.	Antimicrobial resistance and infection control	2020	33138859	PMC7605344	10.1186/s13756-020-00825-3
Predicting future falls in older people using natural language processing of general practitioners' clinical notes.	Dormosh N, Schut MC, Heymans MW, Maarsingh O, Bouman J, van der Velde N, Abu-Hanna A.	Age and ageing	2023	37014000	PMC10071555	10.1093/ageing/afad046
Generative Adversarial Network Image Synthesis Method for Skin Lesion Generation and Classification.	Mutepfe F, Kalejahi BK, Meshgini S, Danishvar S.	Journal of medical signals and sensors	2021	34820296	PMC8588886	10.4103/jmss.jmss_53_20
Development and validation of a deep learning model for morphological assessment of myeloproliferative neoplasms using clinical data and digital pathology.	Wang R, Shi Z, Zhang Y, Wei L, Duan M, Xiao M, Wang J, Chen S, Wang Q, Huang J, Hu X, Mei J, He J, Chen F, Fan L, Yang G, Shen W, Wei Y, Li J.	British journal of haematology	2025	39658953	PMC11829134	10.1111/bjh.19938
Identification of Anti-Tuberculosis Drugs Targeting DNA Gyrase A and Serine/Threonine Protein Kinase PknB: A Machine Learning-Assisted Drug-Repurposing Approach.	Lee D, Islam MA, Natarajan S, Dudekula DB, Chung H, Park J, Oh B.	Tropical medicine and infectious disease	2024	39728815	PMC11679129	10.3390/tropicalmed9120288
Diagnostic performance of rapid antigen test for COVID-19 and the effect of viral load, sampling time, subject's clinical and laboratory parameters on test accuracy.	Amer RM, Samir M, Gaber OA, El-Deeb NA, Abdelmoaty AA, Ahmed AA, Samy W, Atta AH, Walaa M, Anis RH.	Journal of infection and public health	2021	34175237	PMC8192262	10.1016/j.jiph.2021.06.002
Automatic Lung Cancer Segmentation in [<sup>18</sup>F]FDG PET/CT Using a Two-Stage Deep Learning Approach.	Park J, Kang SK, Hwang D, Choi H, Ha S, Seo JM, Eo JS, Lee JS.	Nuclear medicine and molecular imaging	2023	36998591	PMC10043063	10.1007/s13139-022-00745-7
Investigating artificial intelligence models for predicting joint pain from serum biochemistry.	Shahid S, Javaid A, Amjad U, Rasheed J.	Revista da Associacao Medica Brasileira (1992)	2024	39292083	PMC11404989	10.1590/1806-9282.20240381
Machine learning selected smoking-associated DNA methylation signatures that predict HIV prognosis and mortality.	Zhang X, Hu Y, Aouizerat BE, Peng G, Marconi VC, Corley MJ, Hulgan T, Bryant KJ, Zhao H, Krystal JH, Justice AC, Xu K.	Clinical epigenetics	2018	30545403	PMC6293604	10.1186/s13148-018-0591-z
A toolkit for quantifying individual response to herbal extracts in metabolic and inflammatory stress.	Park SY, Kwon O, van den Broek T, Bouwman J, Kim JY.	NPJ science of food	2025	39900584	PMC11791183	10.1038/s41538-024-00354-y
A hand rubbing classification model based on image sequence enhanced by feature-based confidence metric.	Haghpanah MA, Tale Masouleh M, Kalhor A, Akhavan Sarraf E.	Signal, image and video processing	2023	36713068	PMC9859667	10.1007/s11760-022-02467-x
Single Parameter Estimation Approach for Robust Estimation of SIR Model With Limited and Noisy Data: The Case for COVID-19.	Senel K, Ozdinc M, Ozturkcan S.	Disaster medicine and public health preparedness	2021	32580814	PMC7431866	10.1017/dmp.2020.220
Predicting occult lymph node metastasis in solid-predominantly invasive lung adenocarcinoma across multiple centers using radiomics-deep learning fusion model.	Tian W, Yan Q, Huang X, Feng R, Shan F, Geng D, Zhang Z.	Cancer imaging : the official publication of the International Cancer Imaging Society	2024	38216999	PMC10785418	10.1186/s40644-024-00654-2
Unified framework for early stage status prediction of autism based on infant structural magnetic resonance imaging.	Gao K, Sun Y, Niu S, Wang L.	Autism research : official journal of the International Society for Autism Research	2021	34643325	PMC8665129	10.1002/aur.2626
End-to-End Depression Recognition Based on a One-Dimensional Convolution Neural Network Model Using Two-Lead ECG Signal.	Zang X, Li B, Zhao L, Yan D, Yang L.	Journal of medical and biological engineering	2022	35153641	PMC8819200	10.1007/s40846-022-00687-7
