File,Match_Method,JSON_Title,TSV_Title,Similarity,Type
PMC6817842.json,DOI,Not enough information is available.,A reference map of murine cardiac transcription factor chromatin occupancy identifies dynamic and conserved enhancers.,0.29,Content Mismatch
PMC2752621.json,Title,PineSAP—sequence alignment and SNP identification pipeline,PineSAP--sequence alignment and SNP identification pipeline.,0.97,Content Mismatch
PMC7054390.json,Title,"Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients","Development of PancRISK, a urine biomarker-based risk score for stratified screening of pancreatic cancer patients.",1.00,Content Mismatch
PMC7596958.json,DOI,A new efficient method to detect genetic interactions for lung cancer GWAS,A new efficient method to detect genetic interactions for lung cancer GWAS.,0.99,Content Mismatch
PMC5550971.json,Title,Changes and classification in myocardial contractile function in the left ventricle following acute myocardial infarction,Changes and classification in myocardial contractile function in the left ventricle following acute myocardial infarction.,1.00,Content Mismatch
PMC7237030.json,DOI,BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale,BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.,1.00,Content Mismatch
PMC7493359.json,DOI,"Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent","Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent.",1.00,Content Mismatch
PMC12080225.json,Title,HVSeeker: a deep learning-based method for identification of host and viral DNA sequences,HVSeeker: A Deep Learning-based Method for Identification of Host and Viral DNA sequences,0.92,Case Only
PMC8192578.json,DOI,A new molecular classification to drive precision treatment strategies in primary Sjögren’s syndrome,A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.,0.99,Content Mismatch
PMC9329459.json,DOI,Not enough information is available.,ProtGPT2 is a deep unsupervised language model for protein design,0.26,Content Mismatch
PMC8067080.json,Title,The Budapest Amyloid Predictor and its Applications,The Budapest Amyloid Predictor and Its Applications.,0.97,Content Mismatch
PMC11878767.json,Title,TransHLA: a hybrid transformer model for HLA-presented epitope detection,TransHLA: A Hybrid Transformer Model for HLA-Presented Epitope Detection,0.90,Case Only
PMC10776382.json,DOI,Not enough information is available.,Accurate prediction of protein-nucleic acid complexes using RoseTTAFoldNA,0.26,Content Mismatch
PMC5775817.json,DOI,Detecting pairwise interactive effects of continuous random variables for biomarker identification with small sample size,Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.,0.91,Content Mismatch
PMC7156652.json,DOI,Deep learning-based classification of TFE3 renal cell carcinoma and clear cell renal cell carcinoma using whole-slide images,Computational analysis of pathological images enables a better diagnosis of TFE3 Xp11.2 translocation renal cell carcinoma.,0.28,Content Mismatch
PMC8295265.json,DOI,Not enough information is available.,flDPnn: Accurate intrinsic disorder prediction with putative propensities of disorder functions,0.24,Content Mismatch
PMC7721480.json,DOI,8-mRNAsi Signatures for Predicting HNSCC,Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.,0.44,Content Mismatch
PMC6664791.json,Title,IRESpy: an XGBoost model for prediction of internal ribosome entry sites,IRESpy: an XGBoost model for prediction of internal ribosome entry sites.,0.99,Content Mismatch
PMC4773135.json,DOI,Reconstructing Causal Biological Networks through Active Learning,Reconstructing Causal Biological Networks through Active Learning.,0.99,Content Mismatch
PMC3967921.json,DOI,An Integrated Model of Multiple-Condition ChIP-Seq Data Reveals Predeterminants of Cdx2 Binding,An integrated model of multiple-condition ChIP-Seq data reveals predeterminants of Cdx2 binding.,0.91,Content Mismatch
PMC6242780.json,DOI,Artificial Intelligence Understands Peptide Observability and Assists With Absolute Protein Quantification,Artificial Intelligence Understands Peptide Observability and Assists With Absolute Protein Quantification.,1.00,Content Mismatch
PMC8328792.json,Title,Predictive models for mild cognitive impairment to Alzheimer’s disease conversion,Predictive models for mild cognitive impairment to Alzheimer's disease conversion.,0.98,Content Mismatch
PMC9757591.json,DOI,Prediction of plasmid and chromosome sequences,Classification of bacterial plasmid and chromosome derived sequences using machine learning,0.61,Content Mismatch
PMC12569769.json,Title,"SurGen: 1,020 H&E-Stained Whole-Slide Images with Survival and Genetic Markers",SurGen: 1020 H&E-stained Whole Slide Images With Survival and Genetic Markers,0.95,Content Mismatch
PMC5517062.json,Title,Classification and analysis of a large collection of in vivo bioassay descriptions,Classification and analysis of a large collection of in vivo bioassay descriptions.,0.99,Content Mismatch
PMC6708480.json,DOI,Unsupervised Classification of Multi-Omics Data during Cardiac Remodeling using Deep Learning,Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.,0.91,Content Mismatch
PMC6214495.json,Title,LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer,LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer.,1.00,Content Mismatch
PMC8843059.json,DOI,COVID-19 Screening in Chest X-Ray Images Using Lung Region Priors,COVID-19 Screening in Chest X-Ray Images Using Lung Region Priors.,0.99,Content Mismatch
PMC6457539.json,DOI,Not enough information is available.,Estimation of the breadth of CD4bs targeting HIV antibodies by molecular modeling and machine learning.,0.27,Content Mismatch
PMC4466774.json,DOI,A Ranking Approach to Genomic Selection,A Ranking Approach to Genomic Selection.,0.99,Content Mismatch
PMC5113897.json,DOI,Identification of an Efficient Gene Expression Panel for Glioblastoma Classification,Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.,0.99,Content Mismatch
PMC8019900.json,DOI,Prediction of Breast Masses,Improving the Prediction of Benign or Malignant Breast Masses Using a Combination of Image Biomarkers and Clinical Parameters.,0.35,Content Mismatch
PMC7933593.json,DOI,Construction and Comprehensive Analyses of a METTL5-Associated Prognostic Signature With Immune Implication in Lung Adenocarcinomas,Construction and Comprehensive Analyses of a METTL5-Associated Prognostic Signature With Immune Implication in Lung Adenocarcinomas.,1.00,Content Mismatch
PMC8100172.json,DOI,Regression plane concept: analysing continuous cellular processes with machine learning,Regression plane concept for analysing continuous cellular processes with machine learning.,0.97,Content Mismatch
PMC5870574.json,Title,Large-scale structure prediction by improved contact predictions and model quality assessment,Large-scale structure prediction by improved contact predictions and model quality assessment.,0.99,Content Mismatch
PMC7648120.json,Title,MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer,MRI-based machine learning radiomics can predict HER2 expression level and pathologic response after neoadjuvant therapy in HER2 overexpressing breast cancer.,1.00,Content Mismatch
PMC5120500.json,DOI,Not enough information is available.,Comparative genomics of European avian pathogenic E. Coli (APEC),0.28,Content Mismatch
PMC6394031.json,Title,MaGIC: a machine learning tool set and web application for monoallelic gene inference from chromatin,MaGIC: a machine learning tool set and web application for monoallelic gene inference from chromatin.,1.00,Content Mismatch
PMC3009519.json,DOI,Not enough information is available.,Computational prediction of type III secreted proteins from gram-negative bacteria.,0.29,Content Mismatch
PMC6715517.json,Title,Quantification of uncertainty in peptide-MHC binding prediction improves high-affinity peptide selection for therapeutic design,Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.,0.91,Content Mismatch
PMC7073919.json,Title,Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome,Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome.,1.00,Content Mismatch
PMC6495231.json,DOI,Intermittent hypoxia and hypercapnia reproducibly change the gut microbiome and metabolome across rodent model systems.,Intermittent Hypoxia and Hypercapnia Reproducibly Change the Gut Microbiome and Metabolome across Rodent Model Systems.,0.92,Case Only
PMC5860171.json,DOI,Gating mass cytometry data by deep learning,Gating mass cytometry data by deep learning.,0.99,Content Mismatch
PMC5650527.json,Title,From flamingo dance to (desirable) drug discovery: a nature-inspired approach,From flamingo dance to (desirable) drug discovery: a nature-inspired approach.,0.99,Content Mismatch
PMC11927397.json,Title,Healthy Microbiome—Moving Towards Functional Interpretation,Healthy microbiome - moving towards functional interpretation,0.88,Content Mismatch
PMC10653424.json,DOI,A deep learning approach to predict condition-specific gene expression in fungi,FUN-PROSE: A deep learning approach to predict condition-specific gene expression in fungi,0.93,Content Mismatch
PMC6459551.json,DOI,Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs,Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs.,0.99,Content Mismatch
PMC12398281.json,Title,Group-Specific Discriminant Analysis Enhances Detection of Sex Differences in Brain Functional Network Lateralization,Group-specific discriminant analysis enhances detection of sex differences in brain functional network lateralization,0.91,Case Only
PMC1847686.json,DOI,Not enough information is available.,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,0.17,Content Mismatch
PMC8182908.json,Title,Predicting anticancer hyperfoods with graph convolutional networks,Predicting anticancer hyperfoods with graph convolutional networks.,0.99,Content Mismatch
PMC3912131.json,DOI,Classifying Microbial Communities by Bacterial Vaginosis,Machine Learning Techniques Accurately Classify Microbial Communities by Bacterial Vaginosis Characteristics,0.65,Content Mismatch
PMC4315436.json,DOI,The Pdu Microcompartment Interactome,Exploring bacterial organelle interactomes: a model of the protein-protein interaction network in the Pdu microcompartment.,0.28,Content Mismatch
PMC6214550.json,DOI,Predicting bacterial growth conditions from mRNA and protein abundances,Predicting bacterial growth conditions from mRNA and protein abundances.,0.99,Content Mismatch
PMC11034027.json,DOI,Large-scale genomic survey with deep learning-based method reveals strain-level phage specificity determinants,Large-scale Genomic Survey with Deep Learning-based Method Reveals Strain-Level Phage Specificity Determinants,0.90,Case Only
PMC8125376.json,DOI,Comparison of Targeted and Untargeted Approaches in Breath Analysis for the Discrimination of Lung Cancer from Benign Pulmonary Diseases and Healthy Persons,Comparison of Targeted and Untargeted Approaches in Breath Analysis for the Discrimination of Lung Cancer from Benign Pulmonary Diseases and Healthy Persons.,1.00,Content Mismatch
PMC11851125.json,Title,SqueezeCall: nanopore basecalling using a Squeezeformer network,SqueezeCall: Nanopore basecalling using a Squeezeformer network,0.98,Case Only
PMC11816797.json,Title,Unlocking the power of AI for phenotyping fruit morphology in Arabidopsis,Unlocking the Power of AI for Phenotyping Fruit Morphology in Arabidopsis,0.95,Case Only
PMC10541796.json,Title,Confound-leakage: Confound Removal in Machine Learning Leads to Leakage,Confound-leakage: confound removal in machine learning leads to leakage,0.92,Case Only
PMC7442807.json,Title,Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes,Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes.,1.00,Content Mismatch
PMC8230313.json,DOI,Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques,Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques.,1.00,Content Mismatch
PMC10730818.json,DOI,Not enough information is available,Merizo: a rapid and accurate protein domain segmentation method using invariant point attention,0.23,Content Mismatch
PMC10174551.json,Title,ResMiCo: increasing the quality of metagenome-assembled genomes with deep learning,ResMiCo: Increasing the quality of metagenome-assembled genomes with deep learning,0.99,Case Only
PMC3542245.json,DOI,NetiNeti: discovery of scientific names from text using machine learning methods,NetiNeti: discovery of scientific names from text using machine learning methods.,0.99,Content Mismatch
PMC7162491.json,Title,Development of a prediction model for hypotension after induction of anesthesia using machine learning,Development of a prediction model for hypotension after induction of anesthesia using machine learning.,1.00,Content Mismatch
PMC2275242.json,DOI,Not enough information is available.,Gene function prediction using labeled and unlabeled data.,0.38,Content Mismatch
PMC12366053.json,Title,NetStart 2.0: Prediction of Eukaryotic Translation Initiation Sites Using a Protein Language Model,NetStart 2.0: prediction of eukaryotic translation initiation sites using a protein language model,0.91,Case Only
PMC7352871.json,DOI,Urinary Proteomic Biomarkers for Predicting Prognosis in Patients with Diabetic Nephropathy,Differential Urinary Proteome Analysis for Predicting Prognosis in Type 2 Diabetes Patients with and without Renal Dysfunction.,0.59,Content Mismatch
PMC8225676.json,Title,Bioactivity descriptors for uncharacterized chemical compounds,Bioactivity descriptors for uncharacterized chemical compounds.,0.99,Content Mismatch
PMC8554859.json,DOI,iTTCA-RF: a robust computational predictor for tumor T cell antigen identification,iTTCA-RF: a random forest predictor for tumor T cell antigens,0.71,Content Mismatch
PMC8351329.json,DOI,Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma,Using a machine learning approach to identify key prognostic molecules for esophageal squamous cell carcinoma.,1.00,Content Mismatch
PMC9681730.json,DOI,Not enough information is available.,DeepPROTACs is a deep learning-based targeted degradation predictor for PROTACs,0.23,Content Mismatch
PMC7602301.json,DOI,m5CPred-SVM: a sequence-based ensemble learning model for identifying 5-methylcytosine sites in RNA sequences.,m5CPred-SVM: a novel method for predicting m5C sites of RNA.,0.44,Content Mismatch
PMC5738356.json,DOI,Not enough information is available.,Supervised learning in spiking neural networks with FORCE training.,0.27,Content Mismatch
PMC2561051.json,DOI,Punting: a novel stacked generalization strategy for protein classification,Combining classifiers for improved classification of proteins from sequence or structure,0.42,Content Mismatch
PMC4894951.json,DOI,Cox process representation and inference for stochastic reaction–diffusion processes,Cox process representation and inference for stochastic reaction-diffusion processes.,0.98,Content Mismatch
PMC5976622.json,DOI,Distinct Epigenomic Patterns Are Associated with Haploinsufficiency and Predict Risk Genes of Developmental Disorders,Distinct epigenomic patterns are associated with haploinsufficiency and predict risk genes of developmental disorders.,0.91,Content Mismatch
PMC7680913.json,Title,Circulating Neutrophil Extracellular Traps Signature for Identifying Organ Involvement and Response to Glucocorticoid in Adult-Onset Still’s Disease: A Machine Learning Study,Circulating Neutrophil Extracellular Traps Signature for Identifying Organ Involvement and Response to Glucocorticoid in Adult-Onset Still's Disease: A Machine Learning Study.,0.99,Content Mismatch
PMC10684096.json,DOI,Not enough information is available.,A machine learning-enabled open biodata resource inventory from the scientific literature,0.11,Content Mismatch
PMC4388847.json,DOI,Machine Learning Assisted Design of Highly Active Peptides for Drug Discovery,Machine learning assisted design of highly active peptides for drug discovery.,0.89,Content Mismatch
PMC2638158.json,DOI,Not enough information is available.,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,0.25,Content Mismatch
PMC6679781.json,DOI,Machine learning identifies unaffected first-degree relatives with functional network patterns and cognitive impairment similar to those of schizophrenia patients,Machine learning identifies unaffected first-degree relatives with functional network patterns and cognitive impairment similar to those of schizophrenia patients.,1.00,Content Mismatch
PMC11659981.json,Title,scGraph2Vec: A Deep Generative Model for Gene Embedding Augmented by Graph Neural Network and Single-Cell Omics Data,scGraph2Vec: a deep generative model for gene embedding augmented by Graph Neural Network and single-cell omics data,0.91,Case Only
PMC6629660.json,DOI,Oesophageal Cancer Clinical and Molecular Stratification (OCCAMS) Consortium,Patient-specific cancer genes contribute to recurrently perturbed pathways and establish therapeutic vulnerabilities in esophageal adenocarcinoma.,0.16,Content Mismatch
PMC11734293.json,Title,Learning a Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences,Learning A Generalized Graph Transformer for Protein Function Prediction in Dissimilar Sequences,0.99,Case Only
PMC4058174.json,DOI,Not enough information is available.,enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.,0.39,Content Mismatch
PMC4589233.json,DOI,PATBox: A Toolbox for Classification and Analysis of P-Type ATPases,PATBox: A Toolbox for Classification and Analysis of P-Type ATPases.,0.99,Content Mismatch
PMC5821114.json,DOI,Neural circuit inference from function to structure,Neural Circuit Inference from Function to Structure.,0.91,Content Mismatch
PMC8545175.json,DOI,Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification,Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification.,0.99,Content Mismatch
PMC5610945.json,Title,Hidden Markov Modeling of Frequency-Following Responses to Mandarin Lexical Tones,Hidden Markov modeling of frequency-following responses to Mandarin lexical tones.,0.92,Content Mismatch
PMC7860026.json,DOI,A high-throughput SNP chip for the classification of European honey bee subspecies,Authoritative subspecies diagnosis tool for European honey bees based on ancestry informative SNPs.,0.39,Content Mismatch
PMC8042551.json,DOI,Computational Analysis of Diet-Derived Catechins on Vasculogenic Mimicry in Ovarian Cancer Cells,Computational Methods for Structure-to-Function Analysis of Diet-Derived Catechins-Mediated Targeting of In Vitro Vasculogenic Mimicry.,0.62,Content Mismatch
PMC8469072.json,DOI,Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique,Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique.,1.00,Content Mismatch
PMC7734183.json,DOI,Multiplex Networks Characterize Seizure Development,Multiplex Networks to Characterize Seizure Development in Traumatic Brain Injury Patients.,0.72,Content Mismatch
PMC4706063.json,DOI,Machine learning models identify molecules active against the Ebola virus in vitro,Machine learning models identify molecules active against the Ebola virus <i>in vitro</i>.,0.95,Content Mismatch
PMC1421439.json,DOI,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,1.00,Content Mismatch
PMC3396452.json,DOI,Not enough information is available.,"A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.",0.17,Content Mismatch
PMC5860114.json,DOI,NeBcon: protein contact map prediction using neural network training coupled with naïve Bayes classifiers,NeBcon: Protein contact map prediction using neural network training coupled with naïve Bayes classifiers,0.99,Case Only
