File	Key	Old_Value	New_Value	Type
PMC7816647	dataset/availability	Yes. They used a public dataset published in a previous paper. Paper doi: 10.1109/ACCESS.2020.3010287	Yes, https://github.com/ gkanfer/AI-PS/tree/master/facs	Update
PMC7816647	dataset/provenance	"Public dataset of Chest X Rays scans labeled for ""normal"", ""viral pneumonia"", and ""COVID-19"". N_normal = 1341; N_viral_pneumonia = 1345; N_covid19 = 219. Used in previous papers."	Parking and GFP-TFEB images generated in the same study	Update
PMC7816647	dataset/redundancy	Only one dataset is used. They used 5-fold cross-validation on the dataset for evaluation.	Not applicable	Update
PMC7816647	dataset/splits	No test or validation set used. They used 5-fold cross-validation on the dataset for evaluation. Distribution of the classes in the splits not reported	Training 80%, validation 15%, 5% Independent test data. N_pos and N_neg unknown for training data. For independent data: N_pos=5401, N_neg=4948.	Update
PMC7816647	dataset/done	4	0	Update
PMC7816647	optimization/algorithm	Combination of three DenseNet-121, the output of which was combined in a final fully connected layer. 	SVM and Convolutional Neural Network (ImageNet architecture)	Update
PMC7816647	optimization/config	No	Some hyperparameters specified in the main text	Update
PMC7816647	optimization/encoding	The classifier input data are generated by an unsupervised ML algorithm (MS-AdaNet). No transformation is stated for the input data of MS-AdaNet.	150x150 pixel images (CNN). Image descrptors for SVM	Update
PMC7816647	optimization/features	The inputs of the algorithm are three images. The definition of the images is not reported	f=3 (pixel intensities) for CNN. f=3 for SVM (descriptors selected after PCA-based feature selection)	Update
PMC7816647	optimization/fitting		Early stopping used to prevent overfitting (CNN)	Update
PMC7816647	optimization/meta	"Yes. The classifier input data are generated using an unsupervised ML algorithm extracting three image features from Chest X Rays scans. Such unsupervised ML algorithm is a convolutional adversarial network (they call that ""MS-AdaNet"").

They train and test MS-AdaNet on a independent dataset to prove its ability in extrating features. However they trained this algorithm also on the dataset use for classification when the MS-AdaNet is used as input for the classifier."	No	Update
PMC7816647	optimization/parameters		Unknown	Update
PMC7816647	optimization/regularization	No overfitting prevention strategy is mentioned.	No	Update
PMC7816647	optimization/done	5	0	Update
PMC7816647	optimization/skip	3	0	Update
PMC7816647	model/availability	No	Yes https://github.com/gkanfer/AI-PS	Update
PMC7816647	model/duration		Not availbale	Update
PMC7816647	model/output	Classification	Binary classification	Update
PMC7816647	model/done	2	0	Update
PMC7816647	model/skip	2	0	Update
PMC7816647	evaluation/availability	No	Not available	Update
PMC7816647	evaluation/comparison	Compared with other methods presented in literature.	No	Update
PMC7816647	evaluation/confidence	No confidence intervals or statistical significance provided.	No confidence reported	Update
PMC7816647	evaluation/measure	Accuracy, F1 score, Recall, and Precision	Accuracy, AUPRC	Update
PMC7816647	evaluation/method	5-fold cross-validation	Independent testing	Update
PMC7816647	evaluation/done	4	0	Update
PMC7816647	evaluation/skip	1	0	Update
PMC4589233	publication/pmid	26422234	26422234	Update
PMC4589233	publication/pmcid	None	PMC4589233	New_Key
PMC4589233	publication/updated	03/09/2022 10:11:09	0	Update
PMC4589233	publication/authors	Søndergaard D, Pedersen CN	Søndergaard D, Pedersen CN.	Update
PMC4589233	publication/journal	PLoS One	PloS one	Update
PMC4589233	publication/year	2015	2015	Update
PMC4589233	publication/tags	[]	True	Update
PMC4589233	dataset/availability	"Yes, the Drosophila Bicoid data used in this study is available from the FlyEx database, http://urchin.spbcas.ru/flyex/
"	yes	Update
PMC4589233	dataset/provenance	syntetic data and one public dataset	a dataset of 515 sequences annotated with experimentally verified subtypes; 11 classes	Update
PMC4589233	dataset/redundancy		the dataset was also clustered at similarity thresholds of 30%, 50%, 75%, and 90%	Update
PMC4589233	dataset/splits		20 runs of non-stratified 5-fold CVs and 2-fold CVs	Update
PMC4589233	dataset/done	2	0	Update
PMC4589233	dataset/skip	2	0	Update
PMC4589233	optimization/algorithm	Novel approach	KNN	Update
PMC4589233	optimization/config		Yes: text	Update
PMC4589233	optimization/encoding		global features: distances are calculated by BLAST	Update
PMC4589233	optimization/features		variable sequence lengths of around 1000 AAs	Update
PMC4589233	optimization/fitting		a range of K values tested (1-50), 2 different CV protocols, weighted KNN	Update
PMC4589233	optimization/done	1	0	Update
PMC4589233	optimization/skip	7	0	Update
PMC4589233	model/availability	Supplementary data of the article	https://services.birc.au.dk/patbox/ - not available as of 09/03/2022	Update
PMC4589233	model/duration		not provided	Update
PMC4589233	model/interpretability	Black box	transparent: k=1 was selected, which is basically the sequence similarity method	Update
PMC4589233	model/output	Regression	binary predictions	Update
PMC4589233	model/done	3	0	Update
PMC4589233	model/skip	1	0	Update
PMC4589233	evaluation/availability		No	Update
PMC4589233	evaluation/comparison	stochastic simulations	one other method based on ANN is mentioned in the text 	Update
PMC4589233	evaluation/confidence		standard deviation is reported in a figure based on 20*5 values	Update
PMC4589233	evaluation/measure		accuracy	Update
PMC4589233	evaluation/method		5-fold and 2-fold CV	Update
PMC4589233	evaluation/done	1	0	Update
PMC4589233	evaluation/skip	4	0	Update
PMC8185002	publication/pmid	34099697	34099697	Update
PMC8185002	publication/pmcid	None	PMC8185002	New_Key
PMC8185002	publication/updated	03/07/2022 21:14:17	0	Update
PMC8185002	publication/authors	Gao D, Morini E, Salani M, Krauson AJ, Chekuri A, Sharma N, Ragavendran A, Erdin S, Logan EM, Li W, Dakka A, Narasimhan J, Zhao X, Naryshkin N, Trotta CR, Effenberger KA, Woll MG, Gabbeta V, Karp G, Yu Y, Johnson G, Paquette WD, Cutting GR, Talkowski ME, Slaugenhaupt SA	Gao D, Morini E, Salani M, Krauson AJ, Chekuri A, Sharma N, Ragavendran A, Erdin S, Logan EM, Li W, Dakka A, Narasimhan J, Zhao X, Naryshkin N, Trotta CR, Effenberger KA, Woll MG, Gabbeta V, Karp G, Yu Y, Johnson G, Paquette WD, Cutting GR, Talkowski ME, Slaugenhaupt SA.	Update
PMC8185002	publication/journal	Nat Commun	Nature communications	Update
PMC8185002	publication/year	2021	2021	Update
PMC8185002	publication/tags	[]	True	Update
PMC8185002	dataset/availability	No. However, raw data can be downloaded  as data sets can be of GSE53625 from GEO (https://www.ncbi.nlm.nih.gov/geo/) and 37 ESCC cases with Asian ancestry from TCGA (UCSC Xena, https://xena.ucsc.edu/).	Data is provided as supplementary information (supplementary data 1) and via GEO	Update
PMC8185002	dataset/provenance	Downloaded from public sources	RNA-seq data produced by the authors. The set includes 934 exon triplets responding to a BPN15477b treatment. 245 with increased exon inclusion and 680 with increased exclusion. They added 382 exon triplets which did not trigger a response (negative set). Data is used for a three-class predictor. 	Update
PMC8185002	dataset/redundancy	No similarity check	No stratification wa reported	Update
PMC8185002	dataset/splits	Train set of 134 samples, test of 45 samples, and a validation sets consisting of 86 samples. No mention to N_pos or N_neg.	Data divided in training (178 inclusion responded, 478 exclusion responded and 268 unchanged), validation (51inclusion responded, 136 exclusion responded and 76 unchanged) and test set (25 inclusion responded, 68 exclusion responded and 38 unchanged). the data is split randomly over these 3 sets. 	Update
PMC8185002	dataset/done	4	0	Update
PMC8185002	optimization/algorithm	Generalized Linear models, SVM, NN, Random Forests and XGBoost,	CNN, explained in Methods and figure in SI. Predicts a value between 0 and 1 for each of the three classes: inclusion, exclusion and unchanged. Aim is to predict splicing size changes (including no change) after BPN15477 treatment.	Update
PMC8185002	optimization/config	No	Code is available on GitHub (haven't checked it)	Update
PMC8185002	optimization/encoding	Normalization according to an external reference Gut. 2014;63(11):1700–10. https://doi.org/10.1136/gutjnl-2013-305806.	Onehot encoding of concatenated triplets of 3 exons (details see paper)	Update
PMC8185002	optimization/features	No description	400x4 matrix for each exon triplet. No feature selection performed	Update
PMC8185002	optimization/fitting	No description	used L-1 regularisation to avoid overfitting (coefficient =0.6) in the convolutional layer and dropout strategy im the hidden layer	Update
PMC8185002	optimization/meta	No	No data from other predictors is used	Update
PMC8185002	optimization/parameters	No description	Huge number of network parameters (2.5 million trainable parameters as mentioned by the authors). 	Update
PMC8185002	optimization/regularization	No	Overfitting limited through limitation on number of training epochs (12th epoch).  Comparison to 1000 other models with same structure using different random initialisations.  Evaluations done on separate validation and test sets	Update
PMC8185002	optimization/done	5	0	Update
PMC8185002	optimization/skip	3	0	Update
PMC8185002	model/availability	No	via GitHub	Update
PMC8185002	model/duration		not mentioned	Update
PMC8185002	model/interpretability	Linear models and ensemble methods	Method is black box but they provide an exhaustive evaluation of the predictions (compared to 1000 other models) and performed an analysis of the data, through other methods and experiments.	Update
PMC8185002	model/output	both regression and classification	classification (values between 0 and 1 for each class)	Update
PMC8185002	model/done	2	0	Update
PMC8185002	model/skip	2	0	Update
PMC8185002	evaluation/availability	No	didn't find it	Update
PMC8185002	evaluation/comparison	No comparison	not relevant for this work,	Update
PMC8185002	evaluation/confidence	Unpaired or paired Student t-test and log-rank tests for Kaplan-Meier	Provided in detail (see statistical analysis section)	Update
PMC8185002	evaluation/measure	ROC-AUC	AUC and precision recall	Update
PMC8185002	evaluation/method	one training set, one test set and one validation set.	Data split in training, validation and testing. Experimental verification of predictions.	Update
PMC8185002	evaluation/done	4	0	Update
PMC8185002	evaluation/skip	1	0	Update
PMC6594643	publication/pmid	31199787	31199787	Update
PMC6594643	publication/pmcid	None	PMC6594643	New_Key
PMC6594643	publication/updated	None	0	New_Key
PMC6594643	publication/authors	Kymberleigh A. Pagel, Danny Antaki, AoJie Lian, Matthew Mort, David N. Cooper, Jonathan Sebat, Lilia M. Iakoucheva, Sean D. Mooney, and Predrag Radivojac	Pagel KA, Antaki D, Lian A, Mort M, Cooper DN, Sebat J, Iakoucheva LM, Mooney SD, Radivojac P.	Update
PMC6594643	publication/journal	PLOS Computational Biology	PLoS computational biology	Update
PMC6594643	publication/title	Pathogenicity and functional impact of non-frameshifting insertion/deletion variation in the human genome	Pathogenicity and functional impact of non-frameshifting insertion/deletion variation in the human genome.	Update
PMC6594643	publication/year	2019	2019	Update
PMC6594643	publication/done	None	0	New_Key
PMC6594643	publication/skip	None	0	New_Key
PMC6594643	publication/tags	[]	True	Update
PMC10716825	publication/pmid	None	38091508	New_Key
PMC10716825	publication/pmcid	None	PMC10716825	New_Key
PMC10716825	publication/updated	None	0	New_Key
PMC10716825	publication/authors	Akshay Akshay, Masoud Abedi, Navid Shekarchizadeh, Fiona C Burkhard, Mitali Katoch, Alex Bigger-Allen,Rosalyn M Adam, Katia Monastyrskaya, Ali Hashemi Gheinani	Akshay A, Abedi M, Shekarchizadeh N, Burkhard FC, Katoch M, Bigger-Allen A, Adam RM, Monastyrskaya K, Gheinani AH.	Update
PMC10716825	publication/title	MLcps: machine learning cumulative performance score for classification problems	MLcps: machine learning cumulative performance score for classification problems.	Update
PMC10716825	publication/year	2023	2023	Update
PMC10716825	publication/done	None	0	New_Key
PMC10716825	publication/skip	None	0	New_Key
PMC10716825	publication/tags	[]	True	Update
PMC10716825	dataset/done	None	4	New_Key
PMC10716825	dataset/skip	None	0	New_Key
PMC10716825	optimization/done	None	7	New_Key
PMC10716825	optimization/skip	None	1	New_Key
PMC10716825	model/done	None	4	New_Key
PMC10716825	model/skip	None	0	New_Key
PMC10716825	evaluation/done	None	4	New_Key
PMC10716825	evaluation/skip	None	1	New_Key
PMC7054390	publication/pmid	31857725	31857725	Update
PMC7054390	publication/pmcid	None	PMC7054390	New_Key
PMC7054390	publication/updated	05/20/2022 16:23:02	0	Update
PMC7054390	publication/authors	Blyuss O, Zaikin A, Cherepanova V, Munblit D, Kiseleva EM, Prytomanova OM, Duffy SW, Crnogorac-Jurcevic T	Blyuss O, Zaikin A, Cherepanova V, Munblit D, Kiseleva EM, Prytomanova OM, Duffy SW, Crnogorac-Jurcevic T.	Update
PMC7054390	publication/journal	Br J Cancer	British journal of cancer	Update
PMC7054390	publication/year	2020	2020	Update
PMC7054390	publication/tags	[]	True	Update
PMC7054390	dataset/availability	No	Data available on request from the corresponding author.	Update
PMC7054390	dataset/provenance	Yes: dataset generated by own experiment	Specimens collected at the Royal London Hospital, University College London Hospital, Liverpool University and the CNIO Madrid, Spain, plus further samples obtained from Pancreas Tissue Bank (https://www. bartspancreastissuebank.org.uk).  N_pos = 199 ( pancreatic ductal adenocarcinoma (PDAC) patients), N_neg = 180 (healthy patients). No previously used.	Update
PMC7054390	dataset/redundancy	No	Not applicable.	Update
PMC7054390	dataset/splits	~Yes but not very clear: 12 pos and 12 neg images, duplicated (image divided into four quadrant)->48 images pos and 48 images neg. divided: 80% cross-validation training set and 20% testing set.	Random division in a 1:1 ratio for train and test.   N_pos_train = 96, N_neg_train = 95,  N_pos_test = 103, N_neg_test = 85.    50.3% positives on training set.   54.8% positives on test set.	Update
PMC7054390	dataset/done	2	0	Update
PMC7054390	dataset/skip	2	0	Update
PMC7054390	optimization/algorithm	Yes: SVM	Logistic regression.	Update
PMC7054390	optimization/config	No	No.	Update
PMC7054390	optimization/encoding	Yes: images features (fractal dimension, 2D wavelet coefficients, percolation score)	Not reported.	Update
PMC7054390	optimization/features	No	Only 5 predictors available, no selection applied in this work.  The 5 predictors were the result of a selection applied in a previous work (PMID: 21136905), by quantifying differentially expressed proteins in urine proteomes.	Update
PMC7054390	optimization/fitting	No	Bootstrap cross-validation was used for the internal validation to ensure that overfitting is avoided. Following that, elastic net was used for the regularisation of the coefficients to obtain the final model.  	Update
PMC7054390	optimization/meta	No	No.	Update
PMC7054390	optimization/parameters	No	The authors do not mention parameters numbers different from standard. 	Update
PMC7054390	optimization/regularization	No	Yes, use of elastic net.	Update
PMC7054390	optimization/done	2	0	Update
PMC7054390	optimization/skip	6	0	Update
PMC7054390	model/availability	No	Logistic regression: The “glmnet” package from R was used with elastic net regularisation.    NN: Python packages tensorflow, keras, and scikit-learn.  RF: The “party” package from R.   SVM:  The “svmLinear” method from the “caret” package in R was used.  NF: The r-algorithm developed by Shor was used with a precision ε = 0.001. Software implementation of this approach was developed within the Visual Studio 2013 environment.	Update
PMC7054390	model/duration	No	Not reported.	Update
PMC7054390	model/interpretability	~Yes: comparison between different features	Logistic Regression is generally considered transparent.  In a previous work (PMID: 26240291) the authors examined the good predicting power of each of the 3 urine biomarkers (LYVE1, REG1A, and TFF1) taken separately.   However, an explaination of the joint effect of the variables has not been attempted.	Update
PMC7054390	model/output	Regression	Binary classification (high PDAC risk or not).	Update
PMC7054390	model/done	2	0	Update
PMC7054390	model/skip	2	0	Update
PMC7054390	evaluation/availability	No	No.	Update
PMC7054390	evaluation/comparison	No	Logistic regression was compared to neural network (NN), neuro-fuzzy technology (NF), random forest (RF) and support vector machine (SVM).  None of those additional approaches significantly outperformed logistic regression. 	Update
PMC7054390	evaluation/confidence	No	Inference for the ROC curves was based on cluster-robust standard errors that accounted for the serially correlated nature of the samples. It was not possible to create ROC curves and therefore AUC for RF and SVM since the outcome was not continuous. McNemar’s exact test was used to assess the significance of difference in SN at fixed SP and DeLong’s test was used to assess the significance of differences in AUC between approaches. Confidence intervals (CI 95%) for AUCs were derived based on the DeLong’s method to evaluate the uncertainty of an AUC; SN and SP 95% CI were derived using bootstrap replicates. To allow for multiple testing, both types of tests were adjusted using the Bonferroni correction. 	Update
PMC7054390	evaluation/measure	Yes: accuracy = R-square and RMSE	AUROC (except for RF and SVM) and sensitivity at clinically relevant specificity.	Update
PMC7054390	evaluation/method	independent dataset	Independent dataset.	Update
PMC7054390	evaluation/done	2	0	Update
PMC7054390	evaluation/skip	3	0	Update
PMC8162250	publication/pmid	34104645	34104645	Update
PMC8162250	publication/pmcid	None	PMC8162250	New_Key
PMC8162250	publication/updated	None	0	New_Key
PMC8162250	publication/authors	Yan Liu, Hui Geng, Bide Duan, Xiuzhi Yang, Airong Ma, and Xiaoyan Ding	Liu Y, Geng H, Duan B, Yang X, Ma A, Ding X.	Update
PMC8162250	publication/journal	BioMed Research International	BioMed research international	Update
PMC8162250	publication/title	Identification of Diagnostic CpG Signatures in Patients with Gestational Diabetes Mellitus via Epigenome-Wide Association Study Integrated with Machine Learning	Identification of Diagnostic CpG Signatures in Patients with Gestational Diabetes Mellitus <i>via</i> Epigenome-Wide Association Study Integrated with Machine Learning.	Update
PMC8162250	publication/year	2021	2021	Update
PMC8162250	publication/done	None	0	New_Key
PMC8162250	publication/skip	None	0	New_Key
PMC8162250	publication/tags	[]	True	Update
PMC10730818	publication/pmid	None	38114456	New_Key
PMC10730818	publication/pmcid	None	PMC10730818	New_Key
PMC10730818	publication/updated	None	0	New_Key
PMC10730818	publication/authors	Andy M Lau, Shaun M Kandathil, David T Jones	Lau AM, Kandathil SM, Jones DT.	Update
PMC10730818	publication/journal	10.1038/s41467-023-43934-4	Nature communications	Update
PMC10730818	publication/title	Merizo: a rapid and accurate protein domain segmentation method using invariant point attention	Merizo: a rapid and accurate protein domain segmentation method using invariant point attention.	Update
PMC10730818	publication/year	2023	2023	Update
PMC10730818	publication/done	None	0	New_Key
PMC10730818	publication/skip	None	0	New_Key
PMC10730818	publication/tags	[]	True	Update
PMC10730818	dataset/done	None	4	New_Key
PMC10730818	dataset/skip	None	0	New_Key
PMC10730818	optimization/done	None	7	New_Key
PMC10730818	optimization/skip	None	1	New_Key
PMC10730818	model/done	None	4	New_Key
PMC10730818	model/skip	None	0	New_Key
PMC10730818	evaluation/done	None	4	New_Key
PMC10730818	evaluation/skip	None	1	New_Key
PMC11258913	publication/pmid	None	39028588	New_Key
PMC11258913	publication/pmcid	None	PMC11258913	New_Key
PMC11258913	publication/updated	None	0	New_Key
PMC11258913	publication/authors	Chao Zhang, Lin Liu, Ying Zhang, Mei Li, Shuangsang Fang, Qiang Kang, Ao Chen, Xun Xu, Yong Zhang, Yuxiang Li	Zhang C, Liu L, Zhang Y, Li M, Fang S, Kang Q, Chen A, Xu X, Zhang Y, Li Y.	Update
PMC11258913	publication/title	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.	Update
PMC11258913	publication/year	2024	2024	Update
PMC11258913	publication/done	None	0	New_Key
PMC11258913	publication/skip	None	0	New_Key
PMC11258913	publication/tags	[]	True	Update
PMC11258913	dataset/done	None	3	New_Key
PMC11258913	dataset/skip	None	1	New_Key
PMC11258913	optimization/done	None	6	New_Key
PMC11258913	optimization/skip	None	2	New_Key
PMC11258913	model/done	None	4	New_Key
PMC11258913	model/skip	None	0	New_Key
PMC11258913	evaluation/done	None	3	New_Key
PMC11258913	evaluation/skip	None	2	New_Key
PMC7442807	publication/pmid	32826857	32826857	Update
PMC7442807	publication/pmcid	None	PMC7442807	New_Key
PMC7442807	publication/updated	01/26/2022 11:41:26	0	Update
PMC7442807	publication/authors	Takahashi Y, Ueki M, Tamiya G, Ogishima S, Kinoshita K, Hozawa A, Minegishi N, Nagami F, Fukumoto K, Otsuka K, Tanno K, Sakata K, Shimizu A, Sasaki M, Sobue K, Kure S, Yamamoto M, Tomita H	Takahashi Y, Ueki M, Tamiya G, Ogishima S, Kinoshita K, Hozawa A, Minegishi N, Nagami F, Fukumoto K, Otsuka K, Tanno K, Sakata K, Shimizu A, Sasaki M, Sobue K, Kure S, Yamamoto M, Tomita H.	Update
PMC7442807	publication/journal	Transl Psychiatry	Translational psychiatry	Update
PMC7442807	publication/year	2020	2020	Update
PMC7442807	publication/tags	[]	True	Update
PMC7442807	dataset/availability	Yes, but the server is not working: http://protein.ict.ac.cn/ProFOLD	no.	Update
PMC7442807	dataset/provenance	"PDB, CATH, CASP13. 
31,247 non-redundant domains + 104 domains from CASP13 (test).
The number of contacts (positive) and non contacts (negative) is not reported"	SNP data for a total of 9966 subjects: 4974 training cohort subjects living in Miyagi prefecture recruited by Tohoku University and 4992 validation cohort subjects living in Iwate prefecture recruited by Iwate Medical University. 	Update
PMC7442807	dataset/redundancy	Training/Validation: 35% sequence similarity cluster representatives of CATH (Mar 16, 2018). Test set released after 2018. Similarity with Training/Validation unclear	Training and test sets are independent. Subjects with a low call rate (<0.98, n = 2 in the training cohort and n = 3 in the validation cohort) were excluded. They detected 2156 close-relationship pairs (620 in the training cohort and 1536 in the validation cohort) using the identity-by-descent method in PLINK software among the training cohort, the validation cohort, or between these cohorts. Then, in each of these pairs, a subject with lower call rates was excluded. Variants with low call rates, low Hardy–Weinberg equilibrium exact-test P values, or low minor-allele frequencies were filtered out. Subjects without outcome or covariate information (n = 669 in the training cohort and n = 408 in the validation cohort) were excluded. Finally, 3685 subjects in the training cohort and 3048 subjects in the validation cohort with 615,386 variants were subjected to prediction analyses.	Update
PMC7442807	dataset/splits	Training: 29,247 domains; Validation: 1,820 domains; Test: 104 domains. Number of positive and negative not reported	After filtering, 3685 subjects in the training cohort and 3048 subjects in the validation cohort with 615,386 variants were subjected to prediction analyses.	Update
PMC7442807	dataset/done	4	0	Update
PMC7442807	optimization/algorithm	Deep neural network, end-to-end learning	Novel prediction algorithm: Smooth-Threshold Multivariate Genetic Prediction (STMGP)	Update
PMC7442807	optimization/config	The overall architecture is available in supporting information and released in github (https://github.com/fusong-ju/ProFOLD). Webserver is indicated but not functional (http://protein.ict.ac.cn/ProFOLD)	no.	Update
PMC7442807	optimization/encoding	Multiple sequence alignment	Not stated.	Update
