PMID	PMCID
38090633	PMC10711801
36376590	PMC10049411
35692398	PMC9174423
37007865	PMC10061827
39633505	PMC11616316
30478305	PMC6309227
33659566	PMC7842780
32963787	PMC7499912
37818350	PMC10563813
37322450	PMC10273540
38505445	PMC10949101
37857753	PMC10611569
39553229	PMC11560808
36101615	PMC9461546
38557926	PMC11147825
33682883	PMC7982771
30258278	PMC6128386
34297818	PMC10364915
38724895	PMC11080251
39393404	PMC11623027
39844876	PMC11750573
38371312	PMC10869931
37790672	PMC10546501
38602161	PMC11097606
34224351	PMC8818124
38537151	PMC10976492
34517728	PMC8455450
31591578	PMC6858545
39742249	PMC11683696
36680545	PMC10023470
35415381	PMC8983058
37746704	PMC10589430
36691400	PMC9860482
30905398	PMC6451726
36217732	PMC9804041
34354842	PMC8331277
31807099	PMC6842709
36128707	PMC9490331
35296939	PMC9485378
35751994	PMC9234342
38628450	PMC11018039
34091262	PMC8182259
35734307	PMC9207566
38960891	PMC11224715
37994325	PMC10662376
35669335	PMC9142346
39850545	PMC11751442
36875289	PMC9980216
32601992	PMC7561562
36158613	PMC9505703
35200709	PMC8880640
34221634	PMC8240546
33196039	PMC7648592
39698046	PMC11654828
34820296	PMC8588886
33318626	PMC8027390
38517610	PMC10959883
38983780	PMC11231460
35132368	PMC8811587
36798832	PMC9925947
39698126	PMC11655100
30233801	PMC6135464
37014500	PMC10073367
36713068	PMC9859667
35378734	PMC8967694
39591393	PMC11593753
39331274	PMC11436411
29359519	PMC5814341
37275092	PMC10235219
37854585	PMC10583839
39011367	PMC11247394
29989104	PMC6036751
38059336	PMC10854473
26787936	PMC4711406
37622725	PMC10755598
39630592	PMC11775569
36061343	PMC9420706
39399584	PMC11470571
33408908	PMC7771510
39466475	PMC11519251
39650236	PMC11620855
38225813	PMC10802079
35120681	PMC8580864
22084253	PMC3259434
37007551	PMC10061477
34308121	PMC8258057
39707016	PMC11662059
37648910	PMC10564812
33617689	PMC8568050
38817878	PMC11134423
32251142	PMC7903919
38292168	PMC10825437
30629194	PMC6748814
36684185	PMC9857757
36923306	PMC10010318
34019733	PMC8313281
33175608	PMC7885049
39130528	PMC11316486
36406186	PMC9646469
35154743	PMC8832594
30113665	PMC7137462
38858832	PMC11281870
39040542	PMC11261530
37351328	PMC10282650
30753477	PMC6367517
33879254	PMC8058982
32838125	PMC7325639
34935742	PMC9918309
33410720	PMC7799376
38683171	PMC11379010
35577585	PMC9119815
34095773	PMC8174836
38634890	PMC11192659
34869944	PMC8617597
39031340	PMC11613066
31410221	PMC6691572
39426965	PMC11490577
19091052	PMC2654973
30790073	PMC6510616
20936055	PMC2951685
39803656	PMC11711536
38522096	PMC11215191
39520619	PMC11739212
34520235	PMC8553203
38289378	PMC11130007
40007941	PMC11851764
35363146	PMC9015781
36195742	PMC10006025
38162987	PMC10757779
38765885	PMC11099321
30899534	PMC6398873
39528958	PMC11552361
25914861	PMC4407517
38780888	PMC11230954
30245726	PMC6139224
40028426	PMC11870305
31404220	PMC6661861
28396115	PMC5796779
34150350	PMC8155180
33937878	PMC8087249
36910677	PMC9993011
39430914	PMC11488409
39776848	PMC11701861
40098114	PMC11912617
35172720	PMC8851712
39930309	PMC11880073
37492391	PMC10365090
37987479	PMC10660535
36178166	PMC10075196
26905209	PMC4955649
37391359	PMC10528923
37228741	PMC10202705
34737632	PMC8558045
33434568	PMC8106637
31123940	PMC6689279
36988832	PMC10052246
39558593	PMC11617847
35478493	PMC9641193
35845157	PMC9248279
35085166	PMC8884180
34984485	PMC8815306
38620614	PMC7834658
20192878	PMC4786027
36818727	PMC9927558
39763504	PMC11701911
35096278	PMC8785156
38596979	PMC9588865
37004107	PMC10067239
32442756	PMC7219384
36803845	PMC9938619
38706273	PMC11061038
36741331	PMC9884331
34702747	PMC9067264
39407181	PMC11476512
34984173	PMC8722581
36268110	PMC9577132
36164857	PMC10069559
36639821	PMC9837969
38756684	PMC11097004
38617469	PMC11016367
37872515	PMC10591351
32025573	PMC6992687
38875664	PMC11041455
33762385	PMC8002797
33817247	PMC7968546
37415843	PMC10319989
36418670	PMC10185636
33138859	PMC7605344
32156739	PMC7064141
37196588	PMC10199163
24325128	PMC4527478
33941145	PMC8091525
39925929	PMC11804240
36211639	PMC9532264
33717604	PMC7954580
39008196	PMC11416394
33776495	PMC7987326
36720223	PMC9975100
36659903	PMC9842515
39992425	PMC11850473
31893160	PMC6938222
40026810	PMC11869764
33472664	PMC7816443
18973868	PMC5054094
36797674	PMC9936672
37652865	PMC10497900
39736623	PMC11684284
31988495	PMC7308383
33187976	PMC7668301
40055290	PMC11889009
27600227	PMC4996375
38308042	PMC11860222
37532925	PMC10584742
39464532	PMC11504323
38908793	PMC11278897
37001039	PMC10281452
37600471	PMC10438915
34887739	PMC8649783
37196196	PMC10191445
38637971	PMC11417445
37632853	PMC10334948
36249702	PMC9560533
37980501	PMC10657493
33557575	PMC8081115
39757033	PMC11806318
33528359	PMC9724931
38371524	PMC10873872
33446163	PMC7807896
32520440	PMC7723216
39858493	PMC11764147
33072212	PMC7550141
34344442	PMC8336249
33775248	PMC8006383
38216999	PMC10785418
26350602	PMC4751423
38351873	PMC11102825
32860821	PMC7704682
32353417	PMC7478228
39324128	PMC11423779
36821175	PMC10128621
36334112	PMC10293340
31185988	PMC6560734
32879034	PMC7906608
21272960	PMC3086988
36875319	PMC9968666
28736769	PMC5521984
35868537	PMC9780161
19664241	PMC2731080
32299197	PMC7315296
36387836	PMC9664923
30241483	PMC6150970
35004943	PMC8683924
33709030	PMC7940114
39874191	PMC11923905
38742717	PMC11544410
38152577	PMC10751997
33502895	PMC8108534
37921601	PMC10948976
37662525	PMC10468292
34722166	PMC8542441
35642636	PMC9151694
33747524	PMC7962739
37635781	PMC10450242
39583915	PMC11584160
39218586	PMC11366442
38298781	PMC10829610
38130762	PMC10731096
37170892	PMC10220509
34379019	PMC8808003
32747729	PMC9871862
30170646	PMC6117803
40110020	PMC11886321
40008231	PMC11850780
27840109	PMC5130110
39850072	PMC11756513
39763506	PMC11700395
39677374	PMC11638597
34264288	PMC8288051
32282466	PMC7310396
35114179	PMC11543189
38114880	PMC11133043
33092313	PMC8273821
36367625	PMC10947200
26021331	PMC4518739
36332139	PMC9911092
35560256	PMC9544906
36103318	PMC10637405
32991003	PMC7821214
37437569	PMC10529501
25025180	PMC4470375
38182825	PMC10791584
38095106	PMC10872966
35301688	PMC8929464
35272434	PMC9353566
35613162	PMC8757162
35810518	PMC9233873
33294841	PMC7689324
21963891	PMC4002729
36657221	PMC9840815
38598013	PMC11006770
38283263	PMC10812839
38282829	PMC10817774
35543808	PMC9338198
37516110	PMC11625410
34843635	PMC8966003
39760975	PMC11876229
31112904	PMC6637411
33239335	PMC7841422
35153641	PMC8819200
33748644	PMC7963508
31754628	PMC6864056
36331289	PMC9896464
35483706	PMC9977388
34608374	PMC8481113
32878910	PMC7511449
31565072	PMC6755632
38665366	PMC11044033
35521666	PMC9278593
32866413	PMC9200444
34568719	PMC8457832
36328994	PMC9902733
33106465	PMC7991821
31972803	PMC6494740
32961040	PMC7537153
32176384	PMC7317941
33950563	PMC8596733
31074221	PMC6597456
32309027	PMC7156196
33866552	PMC8359992
37935110	PMC10770810
29626649	PMC5960433
36958179	PMC10156426
35313536	PMC8933694
34643325	PMC8665129
39982320	PMC11843979
36456299	PMC9637023
37410216	PMC10425526
39591230	PMC11598409
39585025	PMC11587024
37491671	PMC10584957
38769564	PMC11103848
39099720	PMC11294145
32941121	PMC7522633
21787308	PMC4368063
38512358	PMC11329411
36159078	PMC9485420
34128370	PMC8214948
32223200	PMC7909725
28969863	PMC5768444
37177789	PMC10354858
36862306	PMC10060474
36815580	PMC10402395
34709712	PMC9046460
35966369	PMC9363874
39659957	PMC11629552
39639486	PMC11648505
35129957	PMC9347213
36639062	PMC9974847
36285605	PMC10360075
39474520	PMC11503672
39396969	PMC11472433
33865643	PMC8006198
39363560	PMC11449968
39739129	PMC11909049
39822787	PMC11733900
38887841	PMC11547247
27239542	PMC4879664
39721668	PMC11891141
38264722	PMC10801222
38024138	PMC10662663
35275639	PMC8936051
39776760	PMC11705500
37213441	PMC10199413
33410136	PMC8113076
37965486	PMC10641561
37268878	PMC10239131
37218301	PMC10228240
37025479	PMC10071087
36618079	PMC9813835
34356365	PMC8301183
39562518	PMC11605997
36445331	PMC10510804
36483764	PMC9723999
31867169	PMC6900559
30602092	PMC6440667
32581518	PMC7280067
34587357	PMC9297869
26208851	PMC4513962
28228285	PMC5405381
35665923	PMC9720038
35072137	PMC8758502
35106419	PMC8786681
34714639	PMC8577373
32364311	PMC7818264
34223526	PMC8240917
32863244	PMC9890578
32580814	PMC7431866
36170446	PMC10323699
36419480	PMC9677088
34094808	PMC8170065
39086609	PMC11287434
30224757	PMC9847512
33649564	PMC8711640
32048461	PMC7059009
32528639	PMC7274489
21876642	PMC3163029
37559759	PMC10407326
39897708	PMC11781752
19105837	PMC2637859
16533390	PMC1421405
33012741	PMC8326176
38298865	PMC10826311
36700302	PMC10651383
24565203	PMC8374469
35509481	PMC9051353
36820914	PMC10627450
39041906	PMC11601025
27627195	PMC5266630
36150479	PMC9561045
33256508	PMC8164639
31094000	PMC6538271
38684222	PMC11106606
36102148	PMC9826045
38416134	PMC11145170
37624075	PMC10621606
36263295	PMC9573904
37225398	PMC10700010
21752133	PMC3698244
21087504	PMC2998534
31991031	PMC8722819
39742978	PMC11893473
34491007	PMC9196053
34776001	PMC8591832
37325712	PMC10260708
31574300	PMC7101259
32554922	PMC7406302
29949234	PMC6310107
32903361	PMC7422516
29030274	PMC7055960
37678361	PMC10594409
23888262	PMC3710575
37645423	PMC10461941
33507615	PMC8678829
30090576	PMC6062245
35125606	PMC8799451
34336000	PMC8298161
31871119	PMC7056596
32168227	PMC7236480
35300854	PMC8892361
40008397	PMC11858721
39972360	PMC11841140
39959676	PMC11821569
39853452	PMC11762205
39824879	PMC11742043
39591805	PMC11629217
39583336	PMC11584240
39189090	PMC11726131
39539355	PMC11558700
39513011	PMC11538109
39385947	PMC11462445
39311316	PMC11417923
39291279	PMC11406433
37558487	PMC11008999
38945998	PMC11215832
38778480	PMC11569556
37300586	PMC10257380
37661087	PMC10788551
35377548	PMC9234640
35608365	PMC9210967
38980590	PMC11286713
39223730	PMC11556849
38736274	PMC11089274
38472334	PMC10933352
38287442	PMC10826007
38696854	PMC11070644
35360005	PMC8961007
38656382	PMC11043154
32460867	PMC7251921
33778525	PMC7977789
37774643	PMC10842950
25291354	PMC4388756
30614068	PMC6416075
35927066	PMC9449110
25795417	PMC4408786
37031334	PMC10386986
32848636	PMC7399060
36759177	PMC10359547
31661592	PMC7065628
31558311	PMC6993109
33713584	PMC8127556
32509418	PMC7249423
34901704	PMC8629362
38447795	PMC10997841
38160364	PMC10836572
36238830	PMC9550874
36791514	PMC10281551
27896982	PMC5362124
37173125	PMC10423541
21431562	PMC7123181
35972582	PMC9596523
36708120	PMC9883648
34757067	PMC9054943
38072216	PMC11334056
35073937	PMC8785554
27034664	PMC4789356
36298543	PMC9611587
30810465	PMC7373365
39113074	PMC11308548
38715895	PMC11075076
38222038	PMC10785655
38135862	PMC10850196
34008121	PMC8131289
36743789	PMC9886331
35778132	PMC9188460
32389928	PMC8203473
39529572	PMC11803288
34041639	PMC8741711
38090650	PMC10686164
34791032	PMC8690000
37645508	PMC10457559
36971111	PMC10256890
36299601	PMC9592196
37553543	PMC10560153
35765410	PMC9221925
35451179	PMC9324235
39692968	PMC11655905
39992060	PMC11849444
35972815	PMC9931938
39664334	PMC11631021
39618965	PMC11605305
38264687	PMC10742204
33169861	PMC11423862
34622712	PMC8806423
34401383	PMC8350610
33948264	PMC8057403
36796642	PMC10114598
35399912	PMC8985446
34667093	PMC8527119
36563695	PMC9924077
32174432	PMC8845488
36794166	PMC9925982
36313252	PMC9608344
38943538	PMC11503583
36393884	PMC9653296
35953074	PMC9413214
34031916	PMC9134927
37872579	PMC10591370
20414370	PMC2857954
34237817	PMC8273672
14695313	PMC1602228
36669509	PMC10356903
31611695	PMC7075463
36164267	PMC9746351
37150358	PMC10212001
34967936	PMC8716573
30416381	PMC6216033
33589854	PMC7874964
31951358	PMC11305163
30720260	PMC6606432
38465982	PMC10926267
36683173	PMC9872953
32578905	PMC7646998
34175237	PMC8192262
33731472	PMC8546707
35506114	PMC9052977
35136715	PMC8812126
38977853	PMC11319202
36818162	PMC9931490
34422120	PMC8365570
33292522	PMC7659093
38921949	PMC11206671
37864129	PMC10678814
27709666	PMC5478927
36744216	PMC9894083
35415401	PMC8982795
35000652	PMC9836197
32661034	PMC7358033
31692064	PMC7148171
24131308	PMC4282342
35096486	PMC8794258
17316627	PMC1993824
37095510	PMC10127088
32386061	PMC8514185
33026718	PMC7941561
31204567	PMC7138222
30616524	PMC6323839
32179026	PMC7314106
34279815	PMC8287547
21382517	PMC3134873
32982121	PMC7519580
27642290	PMC5011483
38195644	PMC10947877
30694704	PMC6484528
38798906	PMC11127166
39148895	PMC11324570
36961673	PMC10692030
39292083	PMC11404989
38972064	PMC11229738
38322813	PMC10846766
37833731	PMC10571406
37753058	PMC10518520
37361429	PMC10290467
39493663	PMC11531712
39495623	PMC11574921
38525733	PMC10961794
38419051	PMC10900714
30043454	PMC6177722
37821114	PMC10583101
37482600	PMC10363521
37475157	PMC10730242
36439276	PMC9684182
39619634	PMC11606396
34966898	PMC8664800
34614247	PMC9089236
40034511	PMC11864258
40018053	PMC11865635
39918034	PMC11803684
39828871	PMC11821719
34777955	PMC7659408
30253801	PMC6156962
27090613	PMC4958551
35365675	PMC8975993
38548790	PMC10978911
38370344	PMC10871671
32680766	PMC8207833
37359745	PMC10249943
36712353	PMC9802238
34824729	PMC8586384
33792714	PMC8212763
39257289	PMC11849712
38760946	PMC11547242
38646620	PMC11029226
38776213	PMC11110913
38022427	PMC10646597
37676569	PMC11235401
30983979	PMC6450221
34389924	PMC8363490
28769740	PMC5526294
27416291	PMC5132084
35035024	PMC8753945
34223321	PMC8244434
39115912	PMC11485078
33793093	PMC8129712
29374085	PMC6058191
24159455	PMC3766990
35996737	PMC9386205
37333999	PMC10270711
38095766	PMC10896941
38710399	PMC11218872
32893924	PMC7517863
38124705	PMC10732782
36867960	PMC10165532
36864572	PMC10628771
33835685	PMC8250466
38428731	PMC11282333
38162866	PMC10757494
37889556	PMC10878443
37869640	PMC10587874
36111213	PMC9463539
36781156	PMC10374349
30270033	PMC6223655
29725651	PMC5932308
30094049	PMC6080076
38655069	PMC11035075
35477188	PMC9051300
31841022	PMC6924628
40010988	PMC11884440
38456932	PMC11464570
39802987	PMC11712017
38830995	PMC11148103
39403705	PMC11472749
39363385	PMC11451087
39217147	PMC11365929
38961456	PMC11220987
35088053	PMC8790173
28838305	PMC5645671
35464150	PMC9022904
34620263	PMC8883776
34403447	PMC8423361
35838509	PMC9388181
33689046	PMC7947105
27121382	PMC4902078
34251162	PMC8495362
29263820	PMC5685313
33049412	PMC7731513
37814814	PMC10686794
37131342	PMC10132959
33547412	PMC8080676
36611107	PMC10348822
36822595	PMC10068958
32084340	PMC8349178
32996170	PMC8269970
36213596	PMC9534370
32310684	PMC7115906
30652029	PMC6329797
35493724	PMC9035984
35839773	PMC9391413
37018460	PMC10400152
35988009	PMC9630254
36484040	PMC9724476
35352489	PMC9088642
38466077	PMC11070785
37435577	PMC10331222
35144682	PMC8832719
