title	authors	journal	year	pmid	pmcid	doi
HARNESSING SOCIAL MEDIA FOR HEALTH INFORMATION MANAGEMENT.	Zhou L, Zhang D, Yang C, Wang Y.	Electronic commerce research and applications	2018	30147636	PMC6105292	10.1016/j.elerap.2017.12.003
Intelligent classification of heartbeats for automated real-time ECG monitoring.	Park J, Kang K.	Telemedicine journal and e-health : the official journal of the American Telemedicine Association	2014	25010717	PMC4270110	10.1089/tmj.2014.0033
Progress in Research into the Effectiveness of Pulmonary Rehabilitation in Children with Asthma - A Narrative Review.	Wu P, Hu Y, Yan X.	Journal of asthma and allergy	2024	39131601	PMC11317056	10.2147/jaa.s475367
Optical Coherence Tomography Angiography in Neurodegenerative Diseases: A Review.	Tsokolas G, Tsaousis KT, Diakonis VF, Matsou A, Tyradellis S.	Eye and brain	2020	32765149	PMC7368556	10.2147/eb.s193026
Assessment of integrated patterns of human-animal-environment health: a holistic and stratified analysis.	Guo ZY, Feng JX, Ai L, Xue JB, Liu JS, Zhang XX, Cao CL, Xu J, Xia S, Zhou XN, Chen J, Li SZ.	Infectious diseases of poverty	2023	36915152	PMC10010965	10.1186/s40249-023-01069-0
Comprehensive and quantitative analysis of white and brown adipose tissue by shotgun lipidomics.	Grzybek M, Palladini A, Alexaki VI, Surma MA, Simons K, Chavakis T, Klose C, Coskun Ü.	Molecular metabolism	2019	30777728	PMC6437637	10.1016/j.molmet.2019.01.009
Relationships between apparent diffusion coefficient (ADC) histogram analysis parameters and PD-L 1-expression in head and neck squamous cell carcinomas: a preliminary study.	Meyer HJ, Höhn AK, Surov A.	Radiology and oncology	2021	33764703	PMC8042826	10.2478/raon-2021-0005
The importance of constructive feedback: Implications of top-down regulation in the development of neural circuits.	Thompson AD, Chen C.	Neurogenesis (Austin, Tex.)	2017	28331874	PMC5351721	10.1080/23262133.2017.1287553
How to estimate carbon footprint when training deep learning models? A guide and review.	Bouza L, Bugeau A, Lannelongue L.	Environmental research communications	2023	38022395	PMC10661046	10.1088/2515-7620/acf81b
<i>In vitro</i> immune evaluation of adenoviral vector-based platform for infectious diseases.	Baran J, Kuryk Ł, Szczepińska T, Łaźniewski M, Garofalo M, Mazurkiewicz-Pisarek A, Mikiewicz D, Mazurkiewicz A, Trzaskowski M, Wieczorek M, Pancer K, Hallmann E, Brydak L, Plewczynski D, Ciach T, Mierzejewska J, Staniszewska M.	Biotechnologia	2023	38213479	PMC10777723	10.5114/bta.2023.132775
Radial Wall Strain Assessment From AI-Assisted Angiography: Feasibility and Agreement With OCT as Reference Standard.	Huang J, Tu S, Li C, Hong H, Wang Z, Chen L, Gutiérrez-Chico JL, Wijns W.	Journal of the Society for Cardiovascular Angiography & Interventions	2023	39129795	PMC11307920	10.1016/j.jscai.2022.100570
Effects of a multispecies synbiotic on glucose metabolism, lipid marker, gut microbiome composition, gut permeability, and quality of life in diabesity: a randomized, double-blind, placebo-controlled pilot study.	Horvath A, Leber B, Feldbacher N, Tripolt N, Rainer F, Blesl A, Trieb M, Marsche G, Sourij H, Stadlbauer V.	European journal of nutrition	2020	31729622	PMC7501130	10.1007/s00394-019-02135-w
Call to Improve the Quality of Prediction Tools for Intrahepatic Cholangiocarcinoma Resection: A Critical Appraisal, Systematic Review, and External Validation Study.	Choi WJ, Walker R, Rajendran L, Jones O, Gravely A, Englesakis M, Gallinger S, Hirschfield G, Hansen B, Sapisochin G.	Annals of surgery open : perspectives of surgical history, education, and clinical approaches	2023	37746604	PMC10513309	10.1097/as9.0000000000000328
Integrating carbon sequestration and biodiversity impacts in forested ecosystems: Concepts, cases, and policies.	Alam SA, Kivinen S, Kujala H, Tanhuanpää T, Forsius M.	Ambio	2023	37715896	PMC10562350	10.1007/s13280-023-01931-3
Artificial intelligence: Potential tool to subside SARS-CoV-2 pandemic.	Gopinath N.	Process biochemistry (Barking, London, England)	2021	34366689	PMC8330135	10.1016/j.procbio.2021.08.001
Detection of contaminants in water supply: A review on state-of-the-art monitoring technologies and their applications.	Zulkifli SN, Rahim HA, Lau WJ.	Sensors and actuators. B, Chemical	2018	32288249	PMC7126548	10.1016/j.snb.2017.09.078
Raymond Schinazi Discusses the Discovery of Early Antiretroviral Agents and Sofosbuvir.	Lederman MM, Greenspan NS.	Pathogens & immunity	2023	38021087	PMC10664204	10.20411/pai.v8i1.624
Cnidofest 2018: the future is bright for cnidarian research.	He S, Grasis JA, Nicotra ML, Juliano CE, Schnitzler CE.	EvoDevo	2019	31508195	PMC6724248	10.1186/s13227-019-0134-5
The importance of long-term well management in geothermal power systems using fuzzy control: A Western Anatolia (Turkey) case study.	Tut Haklıdır FS.	Energy (Oxford, England)	2020	32952272	PMC7490243	10.1016/j.energy.2020.118817
A bottom-up approach identifies the antipsychotic and antineoplastic trifluoperazine and the ribose derivative deoxytubercidin as novel microglial phagocytosis inhibitors.	Rodriguez-Iglesias N, Paris I, Valero J, Cañas-Zabala L, Carretero A, Hatje K, Zhang JD, Patsch C, Britschgi M, Gutbier S, Sierra A.	Glia	2025	39495090	PMC11662983	10.1002/glia.24637
MOOC's impact on higher education.	Alhazzani N.	Social sciences & humanities open	2020	34171022	PMC7265837	10.1016/j.ssaho.2020.100030
The chaperone-like protein HYPK acts together with NatA in cotranslational N-terminal acetylation and prevention of Huntingtin aggregation.	Arnesen T, Starheim KK, Van Damme P, Evjenth R, Dinh H, Betts MJ, Ryningen A, Vandekerckhove J, Gevaert K, Anderson D.	Molecular and cellular biology	2010	20154145	PMC2849469	10.1128/mcb.01199-09
Deep Theory of Functional Connections: A New Method for Estimating the Solutions of Partial Differential Equations.	Leake C, Mortari D.	Machine learning and knowledge extraction	2020	32478283	PMC7259480	10.3390/make2010004
What is public health? public goods, publicized goods, and the conversion problem.	Anomaly J.	Public choice	2023	34103770	PMC8174542	10.1007/s11127-021-00908-8
<i>Pseudomonas</i> 2019 meeting report.	Hardie KR, Mathee K, Schweizer HP, Dietrich LE, Welch M, de Kievit T, Nguyen D, Kivisaar M, Dandekar AA, McDougald D, Winstanley C.	Journal of medical microbiology	2020	32490791	PMC7481743	10.1099/jmm.0.001208
The Role of the Mizar Mathematical Library for Interactive Proof Development in Mizar.	Bancerek G, Byliński C, Grabowski A, Korniłowicz A, Matuszewski R, Naumowicz A, Pąk K.	Journal of automated reasoning	2018	30069070	PMC6044251	10.1007/s10817-017-9440-6
How Invariant Feature Selectivity Is Achieved in Cortex.	Sharpee TO.	Frontiers in synaptic neuroscience	2016	27601991	PMC4993779	10.3389/fnsyn.2016.00026
Epidemiological trends of subarachnoid hemorrhage at global, regional, and national level: a trend analysis study from 1990 to 2021.	Lv B, Lan JX, Si YF, Ren YF, Li MY, Guo FF, Tang G, Bian Y, Wang XH, Zhang RJ, Du ZH, Liu XF, Yu SY, Tian CL, Cao XY, Wang J.	Military Medical Research	2024	38992778	PMC11241879	10.1186/s40779-024-00551-6
The Challenge of New Forms of Work, Innovative Technologies, and Aging on Decent Work: Opportunities for Occupational Safety and Health.	Schulte P, Fischer FM, Iavicoli I, De Anchieta Messias I, Fisher DL, Popkin SM, Martinez MC, Cotrim T, Oakman J.	La Medicina del lavoro	2024	39450629	PMC11562667	10.23749/mdl.v115i5.16421
Expression and characterization of a family 45 glycosyl hydrolase from Fomitopsis pinicola and comparison to Phanerochaete chrysosporium Cel45A.	Amengual NG, Csarman F, Wohlschlager L, Ludwig R.	Enzyme and microbial technology	2022	35123123	PMC7613719	10.1016/j.enzmictec.2022.110000
Harnessing the behavioral and social sciences to promote oral health: Where do we go from here?	Randall CL, McNeil DW.	Community dentistry and oral epidemiology	2023	36779642	PMC10390319	10.1111/cdoe.12834
Normothermic machine perfusion of donor livers without the need for human blood products.	Matton APM, Burlage LC, van Rijn R, de Vries Y, Karangwa SA, Nijsten MW, Gouw ASH, Wiersema-Buist J, Adelmeijer J, Westerkamp AC, Lisman T, Porte RJ.	Liver transplantation : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society	2018	29281862	PMC5900573	10.1002/lt.25005
Preparing Viable Single Cells from Human Tissue and Tumors for Cytomic Analysis.	Leelatian N, Doxie DB, Greenplate AR, Sinnaeve J, Ihrie RA, Irish JM.	Current protocols in molecular biology	2017	28369679	PMC5518778	10.1002/cpmb.37
PD-L1<sup>+</sup> macrophage and tumor cell abundance and proximity to T cells in the pretreatment large B-cell lymphoma microenvironment impact CD19 CAR-T cell immunotherapy efficacy.	Hirayama AV, Wright JH, Smythe KS, Fiorenza S, Shaw AN, Gauthier J, Maloney DG, Naresh KN, Yeung CCS, Turtle CJ.	HemaSphere	2024	39113729	PMC11303978	10.1002/hem3.142
Symptoms burden and rehabilitation preference after an episode of COVID-19: A patients survey.	Alhotye M, Daynes E, Gerlis C, Singh SJ.	Chronic respiratory disease	2023	37192536	PMC10191828	10.1177/14799731231177316
Health inequalities, fundamental causes and power: towards the practice of good theory.	McCartney G, Dickie E, Escobar O, Collins C.	Sociology of health & illness	2021	33222244	PMC7894306	10.1111/1467-9566.13181
Automated tools for systematic review screening methods: an application of machine learning for sexual orientation and gender identity measurement in health research.	Rich AJ, McGorray EL, Baldwin-SoRelle C, Cawley M, Grigg K, Beach LB, Phillips G, Poteat T.	Journal of the Medical Library Association : JMLA	2025	39975502	PMC11835039	10.5195/jmla.2025.1860
Restaurant Menu Labeling Policy: Review of Evidence and Controversies.	VanEpps EM, Roberto CA, Park S, Economos CD, Bleich SN.	Current obesity reports	2016	26877095	PMC5124489	10.1007/s13679-016-0193-z
Realizing precision medicine in chronic lymphocytic leukemia: Remaining challenges and potential opportunities.	Stamatopoulos K, Pavlova S, Al-Sawaf O, Chatzikonstantinou T, Karamanidou C, Gaidano G, Cymbalista F, Kater AP, Rawstron A, Scarfò L, Ghia P, Rosenquist R.	HemaSphere	2024	39035106	PMC11260284	10.1002/hem3.113
Parameter-input estimation of RC thermal models of buildings using unscented Kalman filter and nonlinear least square method.	Zamani V, Abtahi S, Chen Y, Li Y.	Indoor + built environment : the journal of the International Society of the Built Environment	2025	39925686	PMC11798724	10.1177/1420326x241270775
Overview of multiplex immunohistochemistry/immunofluorescence techniques in the era of cancer immunotherapy.	Tan WCC, Nerurkar SN, Cai HY, Ng HHM, Wu D, Wee YTF, Lim JCT, Yeong J, Lim TKH.	Cancer communications (London, England)	2020	32301585	PMC7170662	10.1002/cac2.12023
On the role of variables in phonology: Remarks on Hayes and Wilson (2008).	Berent I, Wilson C, Marcus G, Bemis D.	Linguistic inquiry (Online)	2012	22328864	PMC3275086	10.1162/ling_a_00075
Effect of Final Irrigation Solutions on Mechanical Properties of Root Canal Dentine Running title: Final Irrigation on Mechanical Properties.	Ratih DN, Widyastuti A, Monika A.	European endodontic journal	2024	38949478	PMC11685522	10.14744/eej.2024.63308
Structured data sets of compounds with multi-target and corresponding single-target activity from biological assays.	Feldmann C, Yonchev D, Bajorath J.	Future science OA	2021	34046190	PMC8147869	10.2144/fsoa-2020-0209
The Affective Dynamics of Everyday Digital Life: Opening Computational Possibility.	Rocklin ML, Garròn Torres AA, Reeves B, Robinson TN, Ram N.	Affective science	2023	37744988	PMC10514010	10.1007/s42761-023-00202-4
Establishment of Expression in the SHORTROOT-SCARECROW Transcriptional Cascade through Opposing Activities of Both Activators and Repressors.	Sparks EE, Drapek C, Gaudinier A, Li S, Ansariola M, Shen N, Hennacy JH, Zhang J, Turco G, Petricka JJ, Foret J, Hartemink AJ, Gordân R, Megraw M, Brady SM, Benfey PN.	Developmental cell	2016	27923776	PMC5349323	10.1016/j.devcel.2016.09.031
Molecular and cellular programs underlying the development of bovine pre-implantation embryos.	Jiang Z.	Reproduction, fertility, and development	2023	38064195	PMC10962643	10.1071/rd23146
Effect of medical mask on voice in patients with dysphonia.	Su JL, Kang J, Ren QY, Zhu ZX, Zhang SY, Ge PJ.	World journal of otorhinolaryngology - head and neck surgery	2025	40070510	PMC11891283	10.1002/wjo2.181
A reliability and validity study for Scolioscan: a radiation-free scoliosis assessment system using 3D ultrasound imaging.	Zheng YP, Lee TT, Lai KK, Yip BH, Zhou GQ, Jiang WW, Cheung JC, Wong MS, Ng BK, Cheng JC, Lam TP.	Scoliosis and spinal disorders	2016	27299162	PMC4900244	10.1186/s13013-016-0074-y
Candidacy for kidney transplantation of older adults.	Grams ME, Kucirka LM, Hanrahan CF, Montgomery RA, Massie AB, Segev DL.	Journal of the American Geriatrics Society	2012	22239290	PMC3760014	10.1111/j.1532-5415.2011.03652.x
Factors Affecting the Outcomes of First in vitro Fertilization and Embryo Transfer: A Retrospective Investigation.	Muhaidat N, Karam AM, Nabhan MS, Dabbah T, Odeh B, Eid M, Almahallawi NJ, Alshrouf MA.	International journal of women's health	2023	37849847	PMC10577262	10.2147/ijwh.s431468
The Human Glycome Atlas project for cataloging all glycan-related omics data in human.	Aoki-Kinoshita KF, Akune-Taylor Y, Ando H, Angata K, Fujita M, Furukawa JI, Kaji H, Kato K, Kitajima K, Kizuka Y, Matsui Y, Nakajima K, Nishihara S, Okajima T, Sakamoto K, Sato C, Thaysen-Andersen M, Togayachi A, Yagi H, Zappa A, Kadomatsu K.	Glycobiology	2024	39058648	PMC11729707	10.1093/glycob/cwae052
A Review on Automatic Mammographic Density and Parenchymal Segmentation.	He W, Juette A, Denton ER, Oliver A, Martí R, Zwiggelaar R.	International journal of breast cancer	2015	26171249	PMC4481086	10.1155/2015/276217
Management of critical tracheal stenosis with a straw sized tube (Tritube): Case report.	Shallik N, Elarref M, Khamash O, Abdelaal A, Radi Alkhafaji M, Makki H, Abusabeib A, Moustafa A, Menon A.	Qatar medical journal	2020	33598418	PMC7842837	10.5339/qmj.2020.48
Psychometric and Machine Learning Approaches to Reduce the Length of Scales.	Gonzalez O.	Multivariate behavioral research	2021	32749158	PMC7858701	10.1080/00273171.2020.1781585
Development of a Monocyte Activation Test for Evaluating Recombinant Hepatitis B Vaccine: A Novel Approach for Pyrogen Assessment.	Doroud D, Eftekhari Z, Daneshi M, Gheibi P, Jabbari N, Khatami M, Hosseini M.	Iranian biomedical journal	2024	39428998	PMC11829161	10.61186/ibj.4100
sRNAflow: A Tool for the Analysis of Small RNA-Seq Data.	Zayakin P.	Non-coding RNA	2024	38250806	PMC10801628	10.3390/ncrna10010006
An evaluation of linear and non-linear models of expressive dynamics in classical piano and symphonic music.	Cancino-Chacón CE, Gadermaier T, Widmer G, Grachten M.	Machine learning	2017	32063665	PMC6994224	10.1007/s10994-017-5631-y
Size photometry and fluorescence imaging of immobilized immersed extracellular vesicles.	Wallucks A, DeCorwin-Martin P, Shen ML, Ng A, Juncker D.	Journal of extracellular vesicles	2024	39400454	PMC11472239	10.1002/jev2.12512
Biochemical Properties and Immunogenic Epitopes of <i>Echinococcus granulosus</i> Glutathione S-Transferase as a Vaccine Target: <i>In-Silico</i> Study.	Khazaei S, Dalimi A, Pirestani M, Ghafarifar F.	Iranian journal of parasitology	2024	38654954	PMC11033539	10.18502/ijpa.v19i1.15205
Epidemiological study of HPV infection in 24,588 rural women in Luonan, China.	Zhao X, Shen S, Su C, Chang J, Yan Y, Zhao J.	Gynecologic oncology reports	2025	39834647	PMC11743901	10.1016/j.gore.2024.101669
Outcomes of the modern management approach for locally advanced (T<sub>3</sub>-T<sub>4</sub>) laryngeal cancer: a retrospective cohort study.	Rajgor AD, Cowley J, Gillespie C, Lee CW, O'Hara J, Iqbal MS, Hamilton DW.	The Journal of laryngology and otology	2024	39429115	PMC11735189	10.1017/s0022215124001105
Towards the diagnosis of osteoporosis - contributions from coincidental diagnostic imaging findings in chiropractors' practice.	Uhrenholt L, Bakkegaard JH, Hansen K, Doktor KK.	Chiropractic & manual therapies	2024	38915085	PMC11194920	10.1186/s12998-024-00545-0
Progress in the Development and Challenges for the Use of Artificial Kidneys and Wearable Dialysis Devices.	Hueso M, Navarro E, Sandoval D, Cruzado JM.	Kidney diseases (Basel, Switzerland)	2019	30815458	PMC6388440	10.1159/000492932
Aging and Sex Differences in Brain Volume and Cerebral Blood Flow.	Kawano H, Yamada S, Watanabe Y, Ii S, Otani T, Ito H, Okada K, Iseki C, Tanikawa M, Wada S, Oshima M, Mase M, Yoshida K.	Aging and disease	2024	38029394	PMC11346398	10.14336/ad.2023.1122
Minimum intervention oral care: staging and grading dental carious lesions in clinical practice.	Molyneux LE, Banerjee A.	British dental journal	2024	39333813	PMC11436382	10.1038/s41415-024-7843-4
Image-to-mesh conversion method for multi-tissue medical image computing simulations.	Drakopoulos F, Liu Y, Garner K, Chrisochoides N.	Engineering with computers	2024	39717418	PMC11666122	10.1007/s00366-024-02023-w
How Does Deep Neural Network-Based Noise Reduction in Hearing Aids Impact Cochlear Implant Candidacy?	Saoji AA, Sheikh BA, Bertsch NJ, Goulson KR, Graham MK, McDonald EA, Bross AE, Vaisberg JM, Kühnel V, Voss SC, Qian J, Hogan CH, DeJong MD.	Audiology research	2024	39727615	PMC11673434	10.3390/audiolres14060092
Correlations among Core Outcomes in Menopause-recommended vasomotor symptom outcomes in MsFLASH trials.	Carpenter JS, Larson JC, Hunter MS, Lensen S, Chen CX, Guthrie KA.	Menopause (New York, N.Y.)	2024	37963308	PMC10756428	10.1097/gme.0000000000002280
State-of-the-art Prostate Imaging.	Ayyildiz H, Salmaslioglu A, Tunaci A, Erturk SM.	Sisli Etfal Hastanesi tip bulteni	2023	37899806	PMC10600631	10.14744/semb.2023.77910
The Tools for Integrated Management of Childhood Illness (TIMCI) study protocol: a multi-country mixed-method evaluation of pulse oximetry and clinical decision support algorithms.	Beynon F, Langet H, Bohle LF, Awasthi S, Ndiaye O, Machoki M'Imunya J, Masanja H, Horton S, Ba M, Cicconi S, Emmanuel-Fabula M, Faye PM, Glass TR, Keitel K, Kumar D, Kumar G, Levine GA, Matata L, Mhalu G, Miheso A, Mjungu D, Njiri F, Reus E, Ruffo M, Schär F, Sharma K, Storey HL, Masanja I, Wyss K, D'Acremont V, TIMCI Collaborator Group.	Global health action	2024	38683158	PMC11060010	10.1080/16549716.2024.2326253
Translation of Circular RNAs: Functions of Translated Products and Related Bioinformatics Approaches.	Hwang JY, Kook TL, Paulus SM, Park JW.	Current bioinformatics	2024	38500957	PMC10947221	10.2174/1574893618666230505101059
Educating the future generation of researchers: A cross-disciplinary survey of trends in analysis methods.	Bolt T, Nomi JS, Bzdok D, Uddin LQ.	PLoS biology	2021	34324488	PMC8321514	10.1371/journal.pbio.3001313
Genetics in Medicine Open to us all.	Yuan B.	Genetics in medicine open	2023	39669255	PMC11613598	10.1016/j.gimo.2023.100772
Scaling up the evaluation of psychotherapy: evaluating motivational interviewing fidelity via statistical text classification.	Atkins DC, Steyvers M, Imel ZE, Smyth P.	Implementation science : IS	2014	24758152	PMC4026152	10.1186/1748-5908-9-49
Discriminative, generative artificial intelligence, and foundation models in retina imaging.	Ruamviboonsuk P, Arjkongharn N, Vongsa N, Pakaymaskul P, Kaothanthong N.	Taiwan journal of ophthalmology	2024	39803410	PMC11717344	10.4103/tjo.tjo-d-24-00064
Examination of CRISPR/Cas9 design tools and the effect of target site accessibility on Cas9 activity.	Lee CM, Davis TH, Bao G.	Experimental physiology	2018	28303677	PMC7266697	10.1113/ep086043
Algorithm-based modular psychotherapy vs. cognitive-behavioral therapy for patients with depression, psychiatric comorbidities and early trauma: a proof-of-concept randomized controlled trial.	Schramm E, Elsaesser M, Jenkner C, Hautzinger M, Herpertz SC.	World psychiatry : official journal of the World Psychiatric Association (WPA)	2024	38727062	PMC11083959	10.1002/wps.21204
The effect of the pandemic on European narratives on smart cities and surveillance.	Biesaga M, Domaradzka A, Roszczyńska-Kurasińska M, Talaga S, Nowak A.	Urban studies (Edinburgh, Scotland)	2023	38602953	PMC10071187	10.1177/00420980221138317
Artificial intelligence and sexual reproductive health and rights: a technological leap towards achieving sustainable development goal target 3.7.	Gbagbo FY, Ameyaw EK, Yaya S.	Reproductive health	2024	39716281	PMC11667899	10.1186/s12978-024-01924-9
Modelling changing population distributions: an example of the Kenyan Coast, 1979-2009.	Linard C, Kabaria CW, Gilbert M, Tatem AJ, Gaughan AE, Stevens FR, Sorichetta A, Noor AM, Snow RW.	International journal of digital earth	2017	29098016	PMC5632926	10.1080/17538947.2016.1275829
Development of fully-automated synthesis systems.	Sugawara T, Kato S, Okamoto S.	The Journal of automatic chemistry	1994	18924982	PMC2548029	10.1155/s1463924694000039
Personalising dietary advice for disease prevention: concepts and experiences.	Daniel H.	Pflugers Archiv : European journal of physiology	2025	39856267	PMC11825548	10.1007/s00424-025-03064-w
How random is the random forest? Random forest algorithm on the service of structural imaging biomarkers for Alzheimer's disease: from Alzheimer's disease neuroimaging initiative (ADNI) database.	Dimitriadis SI, Liparas D, Alzheimer's Disease Neuroimaging Initiative.	Neural regeneration research	2018	29926817	PMC6022472	10.4103/1673-5374.233433
A health-conformant reading of the GDPR's right not to be subject to automated decision-making.	van Kolfschooten HB.	Medical law review	2024	39135367	PMC11347939	10.1093/medlaw/fwae029
Labor management and neonatal outcomes in cardiotocography categories II and III (Review).	Tsikouras P, Oikonomou E, Bothou A, Kyriakou D, Nalbanti T, Andreou S, Daniilidis A, Peitsidis P, Nikolettos K, Iatrakis G, Nikolettos N.	Medicine international	2024	38628383	PMC11019468	10.3892/mi.2024.151
"Unveiling the intricate role of S100A1 in regulating RyR1 activity: A commentary on ""Structural insights into the regulation of RyR1 by S100A1""."	Perry ML, Varney KM, Tiwary P, Weber DJ, Hernández-Ochoa EO.	Cell calcium	2024	39226841	PMC11613144	10.1016/j.ceca.2024.102947
Applications of artificial intelligence and deep learning in molecular imaging and radiotherapy.	Arabi H, Zaidi H.	European journal of hybrid imaging	2020	34191161	PMC8218135	10.1186/s41824-020-00086-8
Developments of inverse analysis by Kalman filters and Bayesian methods applied to geotechnical engineering.	Murakami A, Fujisawa K, Shuku T.	Proceedings of the Japan Academy. Series B, Physical and biological sciences	2023	37952976	PMC10749391	10.2183/pjab.99.023
Is ultrasound-guided procedure entirely reliable?	Shim JH.	Korean journal of anesthesiology	2017	29046765	PMC5645578	10.4097/kjae.2017.70.5.487
Artificial Intelligence and the State of the Art of Orthopedic Surgery.	Khojastehnezhad MA, Youseflee P, Moradi A, Ebrahimzadeh MH, Jirofti N.	The archives of bone and joint surgery	2025	39886341	PMC11776378	10.22038/abjs.2024.84231.3829
Global Trend on Machine Learning in <i>Helicobacter</i> within One Decade: A Scientometric Study.	Eslami O, Nakhaie M, Rezaei Zadeh Rukerd M, Azimi M, Shahabi E, Honarmand A, Khazaneha M.	Global health, epidemiology and genomics	2023	37600599	PMC10439832	10.1155/2023/8856736
